query,query_type,drug,severity_filter,organ_filter,ground_truth,num_results
What severe musculoskeletal side effects does ziconotide cause?,combination,ziconotide,severe,musculoskeletal,['rhabdomyolysis'],1
List moderate adverse events of ziconotide affecting the gastrointestinal system,combination,ziconotide,moderate,gastrointestinal,"['vomiting', 'dyspepsia', 'abdominal pain upper', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal pain']",6
List moderate adverse events of ziconotide affecting the psychiatric system,combination,ziconotide,moderate,psychiatric,"['confusion aggravated', 'delirium', 'anxiety aggravated', 'hallucination, auditory', 'agitation', 'suicidal ideation', 'hallucination', 'anxiety', 'depression aggravated', 'depression', 'hallucination, visual', 'confusional state']",12
Show musculoskeletal toxicities of ziconotide with moderate severity,combination,ziconotide,moderate,musculoskeletal,"['muscle twitching', 'cramp muscle', 'myalgia', 'muscle spasms', 'arthralgia']",5
List mild adverse events of ziconotide affecting the gastrointestinal system,combination,ziconotide,mild,gastrointestinal,"['nausea', 'constipation', 'nausea aggravated']",3
Show psychiatric toxicities of ziconotide with mild severity,combination,ziconotide,mild,psychiatric,['insomnia'],1
Show neurological toxicities of isocarboxazid with moderate severity,combination,isocarboxazid,moderate,neurological,"['neuropathy peripheral', 'ataxia', 'tremor']",3
Show psychiatric toxicities of isocarboxazid with moderate severity,combination,isocarboxazid,moderate,psychiatric,"['hallucination', 'agitation']",2
List mild adverse events of isocarboxazid affecting the neurological system,combination,isocarboxazid,mild,neurological,"['dizziness', 'headache']",2
List mild adverse events of isocarboxazid affecting the gastrointestinal system,combination,isocarboxazid,mild,gastrointestinal,"['nausea', 'constipation']",2
List moderate adverse events of pyrimethamine affecting the immunological system,combination,pyrimethamine,moderate,immunological,['hypersensitivity'],1
What moderate hematological side effects does pyrimethamine cause?,combination,pyrimethamine,moderate,hematological,"['thrombocytopenia', 'pancytopenia', 'leukopenia']",3
What moderate respiratory side effects does pyrimethamine cause?,combination,pyrimethamine,moderate,respiratory,['pulmonary eosinophilia'],1
What severe cardiovascular side effects does lamotrigine cause?,combination,lamotrigine,severe,cardiovascular,"['cardiac arrest', 'myocardial infarction']",2
What moderate gastrointestinal side effects does lamotrigine cause?,combination,lamotrigine,moderate,gastrointestinal,"['vomiting', 'dyspepsia', 'enterocolitis haemorrhagic', 'gastritis', 'gastrointestinal pain', 'gastrointestinal disorder', 'hemorrhagic colitis', 'abdominal distension', 'abdominal pain', 'gastrointestinal haemorrhage', 'gastric ulcer']",11
What moderate dermatological side effects does lamotrigine cause?,combination,lamotrigine,moderate,dermatological,"['dermatitis', 'eczema', 'fungal skin infection', 'urticaria', 'dermatitis exfoliative', 'skin ulcer', 'skin discolouration', 'dyskinesia', 'seborrhoeic dermatitis', 'photosensitivity reaction', 'dry skin', 'photosensitivity', 'dermatitis contact', 'alopecia', 'dermatitis bullous']",15
What moderate cardiovascular side effects does lamotrigine cause?,combination,lamotrigine,moderate,cardiovascular,"['angina pectoris', 'hypertension', 'orthostatic hypotension', 'palpitations', 'cardiac failure', 'thrombosis']",6
What mild gastrointestinal side effects does lamotrigine cause?,combination,lamotrigine,mild,gastrointestinal,"['nausea', 'constipation']",2
List mild adverse events of lamotrigine affecting the dermatological system,combination,lamotrigine,mild,dermatological,"['pruritus', 'vesiculobullous rash', 'rash', 'rash maculo-papular', 'rash pustular']",5
List moderate adverse events of zyprexa affecting the gastrointestinal system,combination,zyprexa,moderate,gastrointestinal,"['vomiting', 'abdominal distension']",2
Show dermatological toxicities of zyprexa with moderate severity,combination,zyprexa,moderate,dermatological,"['dermatitis', 'tardive dyskinesia', 'urticaria', 'dyskinesia', 'alopecia', 'photosensitivity reaction']",6
What moderate psychiatric side effects does zyprexa cause?,combination,zyprexa,moderate,psychiatric,"['delirium', 'agitation', 'hallucination', 'anxiety', 'confusional state']",5
What mild gastrointestinal side effects does zyprexa cause?,combination,zyprexa,mild,gastrointestinal,"['nausea', 'constipation']",2
What mild dermatological side effects does zyprexa cause?,combination,zyprexa,mild,dermatological,"['pruritus', 'rash']",2
Show psychiatric toxicities of zyprexa with mild severity,combination,zyprexa,mild,psychiatric,['insomnia'],1
List moderate adverse events of valdecoxib affecting the gastrointestinal system,combination,valdecoxib,moderate,gastrointestinal,"['vomiting', 'dyspepsia', 'abdominal bloating', 'intestinal obstruction', 'enterocolitis haemorrhagic', 'gastritis', 'gastrointestinal pain', 'hemorrhagic colitis', 'abdominal distension', 'gastric cancer', 'fullness abdominal', 'diverticulum intestinal', 'abdominal pain', 'gastrointestinal haemorrhage', 'gastric ulcer']",15
Show dermatological toxicities of valdecoxib with moderate severity,combination,valdecoxib,moderate,dermatological,"['dermatitis', 'fungal skin infection', 'dermatitis exfoliative', 'eczema', 'urticaria', 'skin ulcer', 'photosensitivity allergic reaction', 'skin hypertrophy', 'dermatitis psoriasiform', 'dermatitis contact', 'photosensitivity reaction', 'dry skin', 'alopecia']",13
Show immunological toxicities of valdecoxib with moderate severity,combination,valdecoxib,moderate,immunological,['hypersensitivity'],1
What mild gastrointestinal side effects does valdecoxib cause?,combination,valdecoxib,mild,gastrointestinal,"['nausea', 'constipation']",2
What mild dermatological side effects does valdecoxib cause?,combination,valdecoxib,mild,dermatological,"['pruritus', 'rash psoriaform', 'rash erythematous', 'rash', 'rash maculo-papular']",5
What moderate dermatological side effects does propylthiouracil cause?,combination,propylthiouracil,moderate,dermatological,"['dermatitis', 'dermatitis exfoliative', 'urticaria', 'skin ulcer', 'pigmentation skin', 'alopecia']",6
Show musculoskeletal toxicities of propylthiouracil with moderate severity,combination,propylthiouracil,moderate,musculoskeletal,"['myalgia', 'arthralgia']",2
List moderate adverse events of propylthiouracil affecting the neurological system,combination,propylthiouracil,moderate,neurological,"['neuropathy peripheral', 'vertigo']",2
What mild dermatological side effects does propylthiouracil cause?,combination,propylthiouracil,mild,dermatological,"['pruritus', 'rash']",2
List mild adverse events of propylthiouracil affecting the neurological system,combination,propylthiouracil,mild,neurological,['headache'],1
List moderate adverse events of oxycodone affecting the gastrointestinal system,combination,oxycodone,moderate,gastrointestinal,"['vomiting', 'abdominal cramps', 'dyspepsia', 'intestinal obstruction', 'delayed gastric emptying', 'gastric atony', 'abdominal pain upper', 'gastritis', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal distension', 'abdominal colic', 'fullness abdominal', 'abdominal pain', 'impaired gastric emptying']",15
Show immunological toxicities of oxycodone with moderate severity,combination,oxycodone,moderate,immunological,"['hypersensitivity', 'injection site hypersensitivity']",2
