query,query_type,comparison_type,drug1,drug2,ground_truth
What side effects do desloratadine and perphenazine have in common?,drug_comparison,common,desloratadine,perphenazine,"['hypersensitivity', 'infection', 'body temperature increased', 'cough', 'dry mouth', 'hyperkinesia', 'pruritus', 'urticaria', 'agitation', 'erythema', 'dyskinesia', 'anorexia', 'extrapyramidal disorder', 'somnolence', 'angioedema', 'headache', 'dyspnoea', 'anaphylactic shock', 'tachycardia', 'extrapyramidal symptoms', 'decreased appetite', 'dizziness', 'convulsion', 'diarrhoea', 'insomnia']"
What side effects do nicorandil and nebivolol have in common?,drug_comparison,common,nicorandil,nebivolol,"['vomiting', 'shock', 'oedema peripheral', 'vertigo', 'dermatitis', 'pruritus', 'loss of consciousness', 'thrombocytopenia', 'unspecified disorder of skin and subcutaneous tissue', 'asthenia', 'somnolence', 'paraesthesia', 'nausea', 'angioedema', 'myocardial infarction', 'headache', 'dyspnoea', 'acute coronary syndrome', 'gastrointestinal disorder', 'syncope', 'skin disorder', 'dizziness', 'chest pain', 'rash', 'gastrointestinal pain', 'diarrhoea', 'abdominal pain', 'insomnia']"
Which side effects are unique to zuclopenthixol compared to 5-fluorocytosine?,drug_comparison,unique,zuclopenthixol,5-fluorocytosine,"['menopausal symptoms', 'neutropenia', 'pseudoparkinsonism', 'oedema peripheral', 'coldness', 'hypokinesia', 'seborrhoeic dermatitis', 'breast disorder', 'gait disturbance', 'injection site reaction', 'musculoskeletal discomfort', 'loss of consciousness', 'weight increased', 'dyskinesia', 'glycosuria', 'salivary hypersecretion', 'sweating', 'torsade de pointes', 'hypertension', 'gastrointestinal disorder', 'endocrine disorder', 'dizziness postural', 'vulvovaginal dryness', 'protrusion tongue', 'hypotonia', 'sweating increased', 'libido increased', 'ear and labyrinth disorders', 'nervousness', 'urine output increased', 'liver function test abnormal', 'ill-defined disorder', 'vision blurred', 'vascular purpura', 'opisthotonus', 'disturbance in attention', 'embolism venous', 'mental disorder', 'glaucoma', 'erectile dysfunction', 'rhinorrhoea', 'abnormal vision', 'hepatobiliary disease', 'pregnancy', 'drowsiness', 'muscle relaxant therapy', 'cardiac disorder', 'nasopharyngitis', 'lenticular opacities', 'agitation', 'erythema', 'ventricular arrhythmia', 'haemolytic anaemia', 'priapism', 'speech disorder', 'palpitations', 'dyspepsia', 'feeling hot', 'abnormal dreams', 'skin discolouration', 'trismus', 'drug withdrawal syndrome neonatal', 'hyperglycaemia', 'ileus paralytic', 'malnutrition', 'extrapyramidal symptoms', 'drug withdrawal syndrome', 'skin disorder', 'sudden death, cause unknown', 'angiopathy', 'dizziness', 'torticollis', 'blood and lymphatic system disorders', 'hyperprolactinaemia', 'electrocardiogram qt prolonged', 'pain', 'pigmentation disorder', 'myalgia', 'oculogyric crisis', 'arrhythmia', 'hyperacusis', 'visual impairment', 'hypotension', 'purpura non-thrombocytopenic', 'movements involuntary', 'urinary retention', 'apathy', 'female orgasmic disorder', 'thyroid disorder', 'weight decreased', 'hyperkinesia', 'amnesia', 'unspecified disorder of skin and subcutaneous tissue', 'micturition disorder', 'anxiety', 'tinnitus', 'extrapyramidal disorder', 'accommodation disorder', 'somnolence', 'body temperature decreased', 'warmth', 'tremor', 'sudden death', 'eye disorder', 'flatulence', 'purpura', 'gynaecomastia', 'galactorrhoea', 'tachycardia', 'polyuria', 'libido decreased', 'urinary tract disorder', 'hepatitis cholestatic', 'mydriasis', 'menstruation irregular', 'feeling cold', 'tension', 'hypertonia', 'nervous system disorder', 'insomnia', 'increased appetite', 'hyperlipidaemia', 'urethral disorder', 'hyperreflexia', 'shock', 'alanine aminotransferase increased', 'glucose tolerance impaired', 'constipation', 'oculogyration', 'akathisia', 'breast enlargement', 'immune system disorder', 'hypothermia', 'nasal congestion', 'hyperhidrosis', 'dysuria', 'thirst', 'blood bilirubin increased', 'pregnancy test false positive', 'miosis', 'neuroleptic malignant syndrome', 'migraine', 'anaphylactic shock', 'discomfort', 'ejaculation failure', 'hot flush', 'syncope', 'menstrual disorder', 'muscle rigidity', 'amenorrhoea', 'ventricular tachycardia', 'withdrawal symptom', 'flat affect', 'tardive dyskinesia', 'connective tissue disorder', 'ventricular fibrillation', 'disturbance in sexual arousal', 'nightmare', 'malaise', 'strangury', 'venous thromboembolism']"
What side effects do trans and gadodiamide have in common?,drug_comparison,common,trans,gadodiamide,"['hypersensitivity', 'hypotension', 'shock', 'body temperature increased', 'cardiac failure', 'dermatitis', 'pruritus', 'urticaria', 'musculoskeletal discomfort', 'asthenia', 'nausea', 'chills', 'headache', 'dyspnoea', 'anaphylactic shock', 'feeling abnormal', 'discomfort', 'tachycardia', 'anaphylactoid reaction', 'bronchospasm', 'ill-defined disorder', 'rash', 'flushing', 'malaise', 'convulsion', 'myalgia']"
What side effects do fluocinonide and fluoxymesterone have in common?,drug_comparison,common,fluocinonide,fluoxymesterone,"['hypersensitivity', 'headache']"
Compare the side effect profiles of ambrisentan and lisuride,drug_comparison,comparison,ambrisentan,lisuride,"{'common': ['vomiting', 'fatigue', 'oedema peripheral', 'constipation', 'mediastinal disorder', 'infection', 'immune system disorder', 'cough', 'cardiac disorder', 'asthenia', 'anorexia', 'pleural effusion', 'palpitations', 'headache', 'dyspnoea', 'tachycardia', 'malnutrition', 'gastrointestinal disorder', 'syncope', 'angiopathy', 'decreased appetite', 'dizziness', 'nervous system disorder', 'mental disorder', 'insomnia'], 'unique_drug1': ['hypersensitivity', 'upper respiratory tract infection', 'abdominal pain upper', 'haematocrit decreased', 'breast disorder', 'cardiac failure', 'dermatitis', 'pruritus', 'musculoskeletal discomfort', 'loss of consciousness', 'blood disorder', 'pulmonary oedema', 'angioedema', 'hepatic congestion', 'rales', 'vaginal haemorrhage', 'wheezing', 'aspartate aminotransferase increased', 'gastrointestinal pain', 'flushing', 'chest discomfort', 'nocturia', 'non-cardiac chest pain', 'hepatobiliary disease', 'infestation nos', 'body temperature increased', 'muscle spasms', 'nasopharyngitis', 'autoimmune hepatitis', 'sperm count decreased', 'sleep disorder', 'arthralgia', 'hepatitis', 'sinusitis', 'hepatotoxicity', 'haemoglobin', 'pulmonary veno-occlusive disease', 'blood and lymphatic system disorders', 'rhinitis', 'liver injury', 'angina pectoris', 'myalgia', 'hypotension', 'skin ulcer', 'infestation', 'cramp muscle', 'dyspnoea exacerbated', 'influenza', 'urinary tract infection', 'nausea', 'haemoglobin decreased', 'sperm concentration decreased', 'haemorrhage', 'epistaxis', 'urinary tract disorder', 'transaminases increased', 'chest pain', 'fluid retention', 'pneumonia', 'hepatic failure', 'hypokalaemia', 'urethral disorder', 'shock', 'nasal congestion', 'oedema', 'gastritis', 'sinus headache', 'anaemia', 'pulmonary hypertension', 'right ventricular failure', 'pharyngitis', 'contusion', 'migraine', 'traumatic liver injury', 'discomfort', 'rash', 'bronchitis', 'diarrhoea', 'abdominal pain'], 'unique_drug2': ['pathological gambling', 'vertigo', 'dementia', 'aggression', 'weight decreased', 'regurgitation', 'hyperhidrosis', 'dry mouth', 'confusional state', 'pleural fibrosis', 'violent', 'orthostatic collapse', 'anxiety', 'pericardial effusion', 'weight increased', 'disorientation', 'myoclonus', 'somnolence', 'mental disorder due to a general medical condition', 'pericarditis', 'retroperitoneal fibrosis', 'pleurisy', 'erythromelalgia', 'feeling abnormal', 'sweating', 'dehydration', 'orthostatic hypotension', 'cardiac valve disease', 'libido increased', 'hypersexuality', 'obstipation', 'abdominal discomfort', 'peripheral coldness', 'hyperprolactinaemia', 'hallucination', 'sudden onset of sleep', 'disturbance in sexual arousal', 'nightmare', 'blood pressure increased', 'binge eating', 'organic brain syndrome', 'pulmonary fibrosis']}"
What side effects do thiothixene and miglitol have in common?,drug_comparison,common,thiothixene,miglitol,"['dermatitis', 'rash', 'constipation', 'ileus paralytic', 'diarrhoea', 'nausea']"
Which side effects are unique to procaine compared to vorinostat?,drug_comparison,unique,procaine,vorinostat,"['hypersensitivity', 'hypotension', 'vasodilation procedure', 'cardiac arrest', 'drowsiness', 'nephropathy', 'hyperhidrosis', 'oedema', 'nerve paralysis', 'dermatitis', 'sneezing', 'urticaria', 'agitation', 'erythema', 'pseudocholinesterase deficiency', 'acidosis', 'ventricular arrhythmia', 'anxiety', 'haemolytic anaemia', 'tinnitus', 'musculoskeletal discomfort', 'post lumbar puncture syndrome', 'disorientation', 'somnolence', 'cardiac output decreased', 'tremor', 'arthralgia', 'atrioventricular block', 'excitement', 'eosinophilia', 'paralysis', 'arachnoiditis', 'laryngeal oedema', 'anaphylactic shock', 'serum sickness', 'tachycardia', 'hypertension', 'lumbar puncture headache', 'bradycardia', 'anaphylactoid reaction', 'meningism', 'sweating increased', 'vasodilation', 'neuropathy peripheral', 'block heart', 'nervousness', 'neuropathy', 'respiratory arrest', 'jarisch-herxheimer reaction', 'depersonalisation', 'vision blurred', 'hallucination', 'rash', 'prostration', 'eruption', 'psychotic behaviour', 'apnoea', 'tension', 'convulsion']"
Which side effects are unique to norfloxacin compared to n-carbamylglutamate?,drug_comparison,unique,norfloxacin,n-carbamylglutamate,"['hypersensitivity', 'neutropenia', 'haematocrit decreased', 'hearing impaired', 'diplopia', 'vasculitis', 'pruritus', 'tingling sensation', 'musculoskeletal discomfort', 'swelling', 'jaundice', 'cholestasis', 'blood urea increased', 'tendon rupture', 'glycosuria', 'angioedema', 'hypoaesthesia', 'chills', 'proteinuria', 'glucose-6-phosphate dehydrogenase deficiency', 'ataxia', 'dyspnoea', 'torsade de pointes', 'acute coronary syndrome', 'hand swelling', 'photosensitivity', 'aspartate aminotransferase increased', 'nervousness', 'nephritis interstitial', 'dermatitis exfoliative', 'pseudomembranous colitis', 'jaundice cholestatic', 'sleep disturbance', 'vision blurred', 'liver function test abnormal', 'serum creatinine increased', 'blood creatinine increased', 'loose stools', 'convulsions generalised', 'visual disturbance', 'toxic epidermal necrolysis', 'fatigue', 'vertigo', 'aphasia', 'drowsiness', 'tubulointerstitial nephritis', 'leukocytoclastic vasculitis', 'dry mouth', 'muscle spasms', 'confusional state', 'agitation', 'erythema', 'sleep disorder', 'thrombocytopenia', 'haemolytic anaemia', 'ventricular arrhythmia', 'explosive personality disorder', 'myoclonus', 'palpitations', 'mouth ulceration', 'anxiety disorder', 'arthralgia', 'eosinophilia', 'dyspepsia', 'hepatitis', 'blister', 'creatinine increased', 'orthostatic hypotension', 'anaphylactoid reaction', 'anorectal discomfort', 'irritability', 'white blood cell count decreased', 'haematuria', 'dizziness', 'leukopenia', 'vulvovaginal candidiasis', 'myalgia', 'joint stiffness', 'lactic dehydrogenase activity increased', 'visual impairment', 'abdominal cramps', 'dysmenorrhoea', 'myasthenia gravis', 'renal colic', 'cramp muscle', 'psychotic disorder', 'dysarthria', 'erythema periorbital', 'anal pruritus', 'dysphagia', 'urinary protein increased', 'anxiety', 'tinnitus', 'vulvovaginal swelling', 'lacrimation increased', 'hypoglycaemia', 'tremor', 'paraesthesia', 'nausea', 'flatulence', 'tenderness', 'pancreatitis', 'gingival swelling', 'arthritis', 'neuropathy peripheral', 'candiduria', 'platelet count decreased', 'metabolic acidosis', 'taste bitter', 'chest pain', 'blood lactate dehydrogenase increased', 'heartburn', 'tension', 'albuminuria', 'eye pain', 'hypertonia', 'protein urine present', 'blood alkaline phosphatase increased', 'insomnia', 'taste altered', 'hepatic failure', 'guillain-barre syndrome', 'dysphasia', 'nystagmus', 'intracranial pressure increased', 'constipation', 'serum urea increased', 'vaginal moniliasis', 'euphoric mood', 'photosensitivity reaction', 'erythema multiforme', 'stomatitis', 'agranulocytosis', 'osteoarthritis', 'drug eruption', 'oedema', 'tendonitis', 'phosphatase alkaline increased', 'taste metallic', 'urticaria', 'pruritus genital', 'lightheadedness', 'deafness', 'disorientation', 'phototoxicity', 'proctalgia', 'dermatitis bullous', 'conjunctivitis', 'myocardial infarction', 'hepatic necrosis', 'anaphylactic shock', 'vulvovaginal mycotic infection', 'feeling abnormal', 'stevens-johnson syndrome', 'crystalluria', 'local swelling', 'raised liver function tests', 'back pain', 'hallucination', 'vaginal swelling', 'polyneuropathy', 'intermittent explosive disorder', 'convulsion', 'bursitis', 'renal failure']"
Compare the side effect profiles of etoricoxib and carvedilol,drug_comparison,comparison,etoricoxib,carvedilol,"{'common': ['hypersensitivity', 'upper respiratory tract infection', 'oedema peripheral', 'gastrointestinal haemorrhage', 'dermatitis', 'pruritus', 'melaena', 'musculoskeletal discomfort', 'weight increased', 'anorexia', 'blood urea increased', 'hypoaesthesia', 'angioedema', 'glycosuria', 'dyspnoea', 'rales', 'hypertension', 'gastrointestinal disorder', 'acute coronary syndrome', 'aspartate aminotransferase increased', 'vision blurred', 'gastrointestinal pain', 'blood creatinine increased', 'toxic epidermal necrolysis', 'angina unstable', 'fatigue', 'cardiac arrest', 'dry mouth', 'muscle spasms', 'confusional state', 'diabetes mellitus', 'thrombocytopenia', 'blood uric acid increased', 'asthenia', 'palpitations', 'arthralgia', 'dyspepsia', 'sinusitis', 'hyperglycaemia', 'malnutrition', 'orthostatic hypotension', 'skin disorder', 'anaphylactoid reaction', 'angiopathy', 'haemoglobin', 'haematuria', 'dizziness', 'bronchospasm', 'blood and lymphatic system disorders', 'angina pectoris', 'pain', 'visual impairment', 'renal impairment', 'cramp muscle', 'infection', 'cough', 'unspecified disorder of skin and subcutaneous tissue', 'urinary tract infection', 'sinus congestion', 'tinnitus', 'somnolence', 'nausea', 'flatulence', 'headache', 'pain in extremity', 'hyperkalaemia', 'gamma-glutamyltransferase increased', 'decreased appetite', 'haemorrhage', 'urinary tract disorder', 'chest pain', 'alopecia', 'pneumonia', 'blood alkaline phosphatase increased', 'insomnia', 'vomiting', 'urethral disorder', 'shock', 'alanine aminotransferase increased', 'constipation', 'cerebrovascular accident', 'mediastinal disorder', 'immune system disorder', 'erythema multiforme', 'photosensitivity reaction', 'oedema', 'phosphatase alkaline increased', 'urticaria', 'anaemia', 'pharyngitis', 'myocardial infarction', 'injury', 'feeling abnormal', 'anaphylactic shock', 'stevens-johnson syndrome', 'rash', 'bronchitis', 'atrial fibrillation', 'diarrhoea', 'renal failure', 'abdominal pain'], 'unique_drug1': ['shoulder pain', 'fixed drug eruption', 'folliculitis', 'costochondritis', 'breast disorder', 'transient ischaemic attack', 'memory impairment', 'cyst', 'nephrotic syndrome', 'uric acid increased', 'corneal abrasion', 'back strain', 'gingival disorder', 'syndrome sicca', 'jaundice', 'bloated feeling', 'distress gastrointestinal', 'proteinuria', 'tinea pedis', 'dysgeusia', 'vaginal haemorrhage', 'ear and labyrinth disorders', 'blood creatine phosphokinase increased', 'neuropathy', 'nephritis interstitial', 'hypertensive crisis', 'upper limb oedema', 'toothache', 'serum creatinine increased', 'flushing', 'ovarian cyst', 'visual disturbance', 'nocturia', 'lumbar radiculopathy', 'blood urine', 'mental disorder', 'atrial flutter', 'cataract', 'hepatobiliary disease', 'infestation nos', 'sciatica', 'tubulointerstitial nephritis', 'tongue oedema', 'lacunar infarction', 'traumatic arthropathy', 'cardiac disorder', 'hyporeflexia', 'gastrooesophageal reflux disease', 'agitation', 'erythema', 'hepatic steatosis', 'alveolitis', 'mouth ulceration', 'hepatitis', 'cholecystitis', 'breast cancer', 'basal cell carcinoma', ""sjogren's syndrome"", 'hepatotoxicity', 'nephropathy toxic', 'cellulitis', 'white blood cell count decreased', 'cystitis', 'blood pressure increased', 'painful ankle', 'arrhythmia', 'skin ulcer', 'periarthritis', 'infestation', 'herpes zoster', 'tongue disorder', 'bladder pain', 'epigastric discomfort', 'bursitis', 'eczema', 'neck pain', 'anxiety', 'skin nodule', 'tremor', 'polyp', 'knee sprain', 'skin infection', 'peptic ulcer', 'eye disorder', 'functional gastrointestinal disorder', 'pancreatitis', 'abdominal distension', 'pain in fingers', 'neuropathy peripheral', 'aphthous stomatitis', 'chronic pain', 'epistaxis', 'abdominal discomfort', 'platelet count decreased', 'tenosynovitis', 'onychomycosis', 'monocyte count increased', 'ecchymosis', 'heartburn', 'herpes simplex', 'coxalgia', 'blood urine present', 'neoplasm malignant', 'nervous system disorder', 'fungal infection', 'protein urine present', 'laryngitis', 'diastolic hypertension', 'increased thirst', 'hepatic failure', 'oral disorder', 'alveolar osteitis', 'muscle strain', 'foot pain', 'cystitis noninfective', 'stomatitis', 'neoplasm', 'tendonitis', 'drug eruption', 'creatine phosphokinase increased', 'coronary artery disease', 'gastritis', 'thirst', 'ligament sprain', 'laceration', 'nephrotoxicity', 'vaginal infection', 'red blood cell count increased', 'conjunctivitis', 'contusion', 'bacterial infection', 'haemorrhoids', 'oral lesion', 'sunburn', 'connective tissue disorder', 'rosacea', 'muscular weakness', 'musculoskeletal pain', 'gastroenteritis', 'irritable bowel syndrome', 'hallucination', 'skin mass', 'cardiac failure congestive', 'liver fatty', 'trauma'], 'unique_drug2': ['intoxication', 'coldness', 'hearing impaired', 'depression', 'hypokinesia', 'renal failure acute', 'cardiac failure', 'hypocholesterolaemia', 'presyncope', 'loss of consciousness', 'swelling', 'paresis', 'ankle edema', 'pulmonary oedema', 'respiration abnormal', 'blood triglycerides increased', 'rash erythematous', 'hepatic congestion', 'dehydration', 'hyponatraemia', 'hypotonia', 'wheezing', 'extrasystoles', 'sweating increased', 'paranoia', 'nervousness', 'dermatitis exfoliative', 'rash psoriaform', 'diabetic', 'cardiovascular disorder', 'lung disorder', 'ill-defined disorder', 'sleep disturbance', 'vascular purpura', 'convulsions generalised', 'atrioventricular block complete', 'disturbance in attention', 'angina pectoris aggravated', 'pancytopenia', 'affect lability', 'erectile dysfunction', 'vertigo', 'cardioactive drug level increased', 'abnormal vision', 'thinking abnormal', 'ischaemic cardiomyopathy', 'body temperature increased', 'muscle relaxant therapy', 'nasopharyngitis', 'sleep disorder', 'depressed mood', 'cold hands', 'aplastic anaemia', 'pollakiuria', 'mental disability', 'neuralgia', 'creatinine increased', 'mood swings', 'poisoning', 'drug level increased', 'acute myocardial infarction', 'leg edema', 'retrosternal pain', 'unwell', 'rhinitis', 'leukopenia', 'liver injury', 'cerebration impaired', 'prothrombin level decreased', 'gout', 'myalgia', 'periodontitis', 'bundle branch block', 'hypotension', 'hyperuricaemia', 'psychotic disorder', 'weight decreased', 'clotting', 'renal artery stenosis', 'peripheral ischaemia', 'influenza', 'peripheral vascular disorder', 'amnesia', 'digoxin level increased', 'hypoglycaemia', 'paraesthesia', 'sudden death', 'interstitial lung disease', 'atrioventricular block', 'purpura', 'respiratory alkalosis', 'hyperbilirubinaemia', 'tachycardia', 'arthritis', 'kidney function abnormal', 'hypertriglyceridaemia', 'high density lipoprotein decreased', 'respiratory disorder', 'libido decreased', 'fluid overload', 'feeling cold', 'atrioventricular block first degree', 'cerebrovascular disorder', 'tension', 'albuminuria', 'fluid retention', 'hypovolaemia', 'cough increased', 'psoriasis', 'joint swelling', 'myocardial ischaemia', 'hypokalaemia', 'glucose tolerance impaired', 'depression aggravated', 'npn increased', 'nasal congestion', 'hyperhidrosis', 'cramps of lower extremities', 'respiratory distress', 'lightheadedness', 'heart failure signs and symptoms', 'cardiogenic shock', 'viral infection', 'hypercholesterolaemia', 'gravitational oedema', 'dermatitis psoriasiform', 'hyperaesthesia', 'sinus bradycardia', 'breast feeding', 'migraine', 'traumatic liver injury', 'coagulopathy', 'urinary incontinence', 'discomfort', 'bradycardia', 'syncope', 'accidental injury', 'interstitial pneumonia', 'partial hearing loss', 'ventricular tachycardia', 'back pain', 'ventricular fibrillation', 'peripheral coldness', 'disturbance in sexual arousal', 'hypotension symptomatic', 'nightmare', 'malaise', 'convulsion', 'generalised oedema', 'rash maculo-papular']}"
