query,query_type,source_drug,requires_graph,hop_count,pathway_analysis,drugs,network_analysis,organ,cluster_analysis
Find all drugs that share severe side effects with ceftaroline,graph_multihop,ceftaroline,True,2.0,,,,,
Find all drugs that share severe side effects with sulfonamide,graph_multihop,sulfonamide,True,2.0,,,,,
Find all drugs that share severe side effects with fty720,graph_multihop,fty720,True,2.0,,,,,
Identify drugs with overlapping hepatotoxicity profile to iopromide,graph_multihop,iopromide,True,2.0,,,,,
What drugs have similar cardiovascular risk profile as l-threo-dops?,graph_multihop,l-threo-dops,True,2.0,,,,,
Identify drugs with overlapping hepatotoxicity profile to tadalafil,graph_multihop,tadalafil,True,2.0,,,,,
Identify drugs with overlapping hepatotoxicity profile to indapamide,graph_multihop,indapamide,True,2.0,,,,,
Find all drugs that share severe side effects with anthracycline,graph_multihop,anthracycline,True,2.0,,,,,
Find all drugs that share severe side effects with sativex,graph_multihop,sativex,True,2.0,,,,,
Find all drugs that share severe side effects with acenocoumarol,graph_multihop,acenocoumarol,True,2.0,,,,,
What drugs have similar cardiovascular risk profile as nabilone?,graph_multihop,nabilone,True,2.0,,,,,
What drugs have similar cardiovascular risk profile as perindopril?,graph_multihop,perindopril,True,2.0,,,,,
Find all drugs that share severe side effects with olopatadine,graph_multihop,olopatadine,True,2.0,,,,,
Identify drugs with overlapping hepatotoxicity profile to busulfan,graph_multihop,busulfan,True,2.0,,,,,
Find all drugs that share severe side effects with medrysone,graph_multihop,medrysone,True,2.0,,,,,
Find all drugs that share severe side effects with insulin,graph_multihop,insulin,True,2.0,,,,,
Identify drugs with overlapping hepatotoxicity profile to loxapine,graph_multihop,loxapine,True,2.0,,,,,
What drugs have similar cardiovascular risk profile as tenoxicam?,graph_multihop,tenoxicam,True,2.0,,,,,
Find all drugs that share severe side effects with nevirapine,graph_multihop,nevirapine,True,2.0,,,,,
What drugs have similar cardiovascular risk profile as n-3?,graph_multihop,n-3,True,2.0,,,,,
Find all drugs that share severe side effects with eaca,graph_multihop,eaca,True,2.0,,,,,
Find all drugs that share severe side effects with 8-mop,graph_multihop,8-mop,True,2.0,,,,,
Identify drugs with overlapping hepatotoxicity profile to promacta,graph_multihop,promacta,True,2.0,,,,,
Identify drugs with overlapping hepatotoxicity profile to posaconazole,graph_multihop,posaconazole,True,2.0,,,,,
Identify drugs with overlapping hepatotoxicity profile to guaifenesin,graph_multihop,guaifenesin,True,2.0,,,,,
What drugs have similar cardiovascular risk profile as valsartan?,graph_multihop,valsartan,True,2.0,,,,,
Identify drugs with overlapping hepatotoxicity profile to nadolol,graph_multihop,nadolol,True,2.0,,,,,
Identify drugs with overlapping hepatotoxicity profile to quinapril,graph_multihop,quinapril,True,2.0,,,,,
Find all drugs that share severe side effects with benzphetamine,graph_multihop,benzphetamine,True,2.0,,,,,
What drugs have similar cardiovascular risk profile as nefopam?,graph_multihop,nefopam,True,2.0,,,,,
Find all drugs that share severe side effects with hydrocortisone,graph_multihop,hydrocortisone,True,2.0,,,,,
Find all drugs that share severe side effects with minoxidil,graph_multihop,minoxidil,True,2.0,,,,,
Find all drugs that share severe side effects with cephem,graph_multihop,cephem,True,2.0,,,,,
What drugs have similar cardiovascular risk profile as almotriptan?,graph_multihop,almotriptan,True,2.0,,,,,
What drugs have similar cardiovascular risk profile as mometasone?,graph_multihop,mometasone,True,2.0,,,,,
Identify drugs with overlapping hepatotoxicity profile to isoproterenol,graph_multihop,isoproterenol,True,2.0,,,,,
What drugs have similar cardiovascular risk profile as bimatoprost?,graph_multihop,bimatoprost,True,2.0,,,,,
Identify drugs with overlapping hepatotoxicity profile to solifenacin,graph_multihop,solifenacin,True,2.0,,,,,
Find all drugs that share severe side effects with galantamine,graph_multihop,galantamine,True,2.0,,,,,
Identify drugs with overlapping hepatotoxicity profile to troglitazone,graph_multihop,troglitazone,True,2.0,,,,,
Find all drugs that share severe side effects with temazepam,graph_multihop,temazepam,True,2.0,,,,,
Identify drugs with overlapping hepatotoxicity profile to ephedrine,graph_multihop,ephedrine,True,2.0,,,,,
Find all drugs that share severe side effects with iohexol,graph_multihop,iohexol,True,2.0,,,,,
What drugs have similar cardiovascular risk profile as paroxetine?,graph_multihop,paroxetine,True,2.0,,,,,
What drugs have similar cardiovascular risk profile as azelastine?,graph_multihop,azelastine,True,2.0,,,,,
Find all drugs that share severe side effects with natamycin,graph_multihop,natamycin,True,2.0,,,,,
Find all drugs that share severe side effects with almeta,graph_multihop,almeta,True,2.0,,,,,
What drugs have similar cardiovascular risk profile as tipranavir?,graph_multihop,tipranavir,True,2.0,,,,,
Find all drugs that share severe side effects with esomeprazole,graph_multihop,esomeprazole,True,2.0,,,,,
What drugs have similar cardiovascular risk profile as buspirone?,graph_multihop,buspirone,True,2.0,,,,,
What cascade of side effects can ceftaroline trigger?,graph_pathway,ceftaroline,True,,True,,,,
What cascade of side effects can sulfonamide trigger?,graph_pathway,sulfonamide,True,,True,,,,
What cascade of side effects can fty720 trigger?,graph_pathway,fty720,True,,True,,,,
What cascade of side effects can iopromide trigger?,graph_pathway,iopromide,True,,True,,,,
What cascade of side effects can l-threo-dops trigger?,graph_pathway,l-threo-dops,True,,True,,,,
What cascade of side effects can tadalafil trigger?,graph_pathway,tadalafil,True,,True,,,,
What cascade of side effects can indapamide trigger?,graph_pathway,indapamide,True,,True,,,,
What cascade of side effects can anthracycline trigger?,graph_pathway,anthracycline,True,,True,,,,
What cascade of side effects can sativex trigger?,graph_pathway,sativex,True,,True,,,,
What cascade of side effects can acenocoumarol trigger?,graph_pathway,acenocoumarol,True,,True,,,,
What cascade of side effects can nabilone trigger?,graph_pathway,nabilone,True,,True,,,,
