query,query_type,drug,organ_filter,ground_truth,num_results
What gastrointestinal side effects does rosuvastatin cause?,organ_specific,rosuvastatin,gastrointestinal,"['dyspepsia', 'nausea', 'constipation', 'gastrointestinal pain', 'abdominal pain']",5
Find all cardiovascular adverse events from rosuvastatin,organ_specific,rosuvastatin,cardiovascular,['arrhythmia'],1
List rosuvastatin's effects on the musculoskeletal system,organ_specific,rosuvastatin,musculoskeletal,"['muscle swelling', 'rhabdomyolysis', 'myalgia', 'arthralgia']",4
Find all psychiatric adverse events from rosuvastatin,organ_specific,rosuvastatin,psychiatric,"['depression', 'insomnia', 'confusional state']",3
Show endocrine toxicity of rosuvastatin,organ_specific,rosuvastatin,endocrine,['diabetes mellitus'],1
Show neurological toxicity of rosuvastatin,organ_specific,rosuvastatin,neurological,"['neuropathy peripheral', 'dizziness', 'headache']",3
Find all dermatological adverse events from rosuvastatin,organ_specific,rosuvastatin,dermatological,"['dermatitis', 'pruritus', 'urticaria', 'rash']",4
What are the hepatobiliary risks of taking rosuvastatin?,organ_specific,rosuvastatin,hepatobiliary,"['hepatitis', 'hepatic failure', 'hepatic enzyme increased', 'hepatobiliary disease', 'jaundice']",5
What immunological side effects does rosuvastatin cause?,organ_specific,rosuvastatin,immunological,['hypersensitivity'],1
List rosuvastatin's effects on the renal system,organ_specific,rosuvastatin,renal,"['proteinuria', 'urinary tract infection', 'renal failure acute', 'microscopic hematuria', 'nephropathy']",5
What are the hematological risks of taking rosuvastatin?,organ_specific,rosuvastatin,hematological,['thrombocytopenia'],1
List rosuvastatin's effects on the respiratory system,organ_specific,rosuvastatin,respiratory,"['cough', 'cough increased']",2
Find all gastrointestinal adverse events from anthracycline,organ_specific,anthracycline,gastrointestinal,"['vomiting', 'nausea', 'gastritis', 'constipation', 'gastrointestinal pain', 'abdominal pain', 'gastrointestinal haemorrhage']",7
What dermatological side effects does anthracycline cause?,organ_specific,anthracycline,dermatological,"['dermatitis', 'pruritus', 'urticaria', 'skin hyperpigmentation', 'rash', 'rash macular', 'dry skin', 'dermatitis contact', 'alopecia', 'seborrhoeic dermatitis', 'alopecia reversible']",11
What cardiovascular side effects does anthracycline cause?,organ_specific,anthracycline,cardiovascular,"['cardiac disorder', 'acute cardiac toxicity', 'cardiac arrest', 'cardiac failure congestive', 'tachycardia', 'angina pectoris', 'hypertension', 'pulmonary hypertension', 'supraventricular tachycardia', 'palpitations', 'sinus tachycardia', 'cardiac tamponade', 'cardiac failure', 'arrhythmia', 'myocardial infarction']",15
Find all psychiatric adverse events from anthracycline,organ_specific,anthracycline,psychiatric,"['bone marrow depression', 'agitation', 'anxiety', 'hallucination', 'depression', 'insomnia', 'confusional state']",7
List anthracycline's effects on the musculoskeletal system,organ_specific,anthracycline,musculoskeletal,"['myalgia', 'arthralgia']",2
List anthracycline's effects on the neurological system,organ_specific,anthracycline,neurological,"['dizziness', 'ataxia', 'headache', 'tremor', 'neuropathy peripheral', 'neuropathy']",6
Find all ocular adverse events from anthracycline,organ_specific,anthracycline,ocular,"['abnormal vision', 'conjunctivitis']",2
What respiratory side effects does anthracycline cause?,organ_specific,anthracycline,respiratory,['cough'],1
Show otic toxicity of anthracycline,organ_specific,anthracycline,otic,"['deafness', 'tinnitus']",2
