query,query_type,drug,severity_filter,ground_truth,num_results
List life threatening adverse events of norfloxacin,severity_filtered,norfloxacin,life_threatening,"['anaphylactic shock', 'anaphylactoid reaction', 'stevens-johnson syndrome', 'toxic epidermal necrolysis']",4
Show severe reactions to norfloxacin,severity_filtered,norfloxacin,severe,['myocardial infarction'],1
Show moderate severe reactions to norfloxacin,severity_filtered,norfloxacin,moderate_severe,['pancreatitis'],1
Find all moderate toxicities of norfloxacin,severity_filtered,norfloxacin,moderate,"['hypersensitivity', 'neutropenia', 'haematocrit decreased', 'hearing impaired', 'diplopia', 'vasculitis', 'dermatitis', 'tingling sensation', 'musculoskeletal discomfort', 'swelling', 'anorexia', 'jaundice', 'cholestasis', 'blood urea increased', 'tendon rupture', 'glycosuria', 'angioedema', 'hypoaesthesia', 'chills', 'glucose-6-phosphate dehydrogenase deficiency', 'ataxia', 'dyspnoea', 'torsade de pointes', 'acute coronary syndrome', 'dysgeusia', 'hand swelling', 'photosensitivity', 'aspartate aminotransferase increased', 'nervousness', 'nephritis interstitial', 'dermatitis exfoliative', 'pseudomembranous colitis', 'jaundice cholestatic', 'sleep disturbance', 'vision blurred', 'liver function test abnormal', 'serum creatinine increased', 'gastrointestinal pain', 'blood creatinine increased', 'loose stools', 'convulsions generalised', 'visual disturbance', 'vertigo', 'aphasia', 'drowsiness', 'body temperature increased', 'tubulointerstitial nephritis', 'leukocytoclastic vasculitis', 'muscle spasms', 'confusional state', 'agitation', 'erythema', 'sleep disorder', 'thrombocytopenia', 'haemolytic anaemia', 'ventricular arrhythmia', 'asthenia', 'explosive personality disorder', 'myoclonus', 'palpitations', 'mouth ulceration', 'anxiety disorder', 'arthralgia', 'eosinophilia', 'dyspepsia', 'hepatitis', 'blister', 'creatinine increased', 'orthostatic hypotension', 'anorectal discomfort', 'irritability', 'white blood cell count decreased', 'haematuria', 'leukopenia', 'vulvovaginal candidiasis', 'myalgia', 'joint stiffness', 'lactic dehydrogenase activity increased', 'visual impairment', 'abdominal cramps', 'dysmenorrhoea', 'myasthenia gravis', 'renal colic', 'cramp muscle', 'psychotic disorder', 'dysarthria', 'erythema periorbital', 'dysphagia', 'urinary protein increased', 'anxiety', 'tinnitus', 'somnolence', 'vulvovaginal swelling', 'lacrimation increased', 'hypoglycaemia', 'tremor', 'paraesthesia', 'flatulence', 'tenderness', 'gingival swelling', 'arthritis', 'neuropathy peripheral', 'decreased appetite', 'candiduria', 'platelet count decreased', 'metabolic acidosis', 'taste bitter', 'chest pain', 'blood lactate dehydrogenase increased', 'heartburn', 'tension', 'albuminuria', 'eye pain', 'hypertonia', 'protein urine present', 'blood alkaline phosphatase increased', 'vomiting', 'taste altered', 'hepatic failure', 'guillain-barre syndrome', 'dysphasia', 'nystagmus', 'intracranial pressure increased', 'serum urea increased', 'vaginal moniliasis', 'euphoric mood', 'photosensitivity reaction', 'erythema multiforme', 'stomatitis', 'agranulocytosis', 'osteoarthritis', 'hyperhidrosis', 'drug eruption', 'oedema', 'tendonitis', 'phosphatase alkaline increased', 'taste metallic', 'urticaria', 'lightheadedness', 'deafness', 'disorientation', 'phototoxicity', 'proctalgia', 'dermatitis bullous', 'conjunctivitis', 'hepatic necrosis', 'feeling abnormal', 'vulvovaginal mycotic infection', 'crystalluria', 'local swelling', 'raised liver function tests', 'back pain', 'hallucination', 'vaginal swelling', 'polyneuropathy', 'intermittent explosive disorder', 'convulsion', 'diarrhoea', 'bursitis', 'renal failure', 'abdominal pain']",161
List mild moderate adverse events of norfloxacin,severity_filtered,norfloxacin,mild_moderate,['proteinuria'],1
Find all mild toxicities of norfloxacin,severity_filtered,norfloxacin,mild,"['dizziness', 'pruritus', 'headache', 'pruritus genital', 'fatigue', 'constipation', 'rash', 'anal pruritus', 'nausea', 'dry mouth', 'insomnia']",11
List severe adverse events of amikacin,severity_filtered,amikacin,severe,['paralysis'],1
Find all moderate severe toxicities of amikacin,severity_filtered,amikacin,moderate_severe,['nephrotoxicity'],1
List moderate adverse events of amikacin,severity_filtered,amikacin,moderate,"['vomiting', 'hypotension', 'ototoxicity', 'hearing impaired', 'hypomagnesaemia', 'renal failure acute', 'drug fever', 'body temperature increased', 'dermatitis', 'musculoskeletal discomfort', 'deafness', 'infarction', 'anaemia', 'tremor', 'unspecified visual loss', 'paraesthesia', 'azotaemia', 'eosinophilia', 'arthralgia', 'nephropathy toxic', 'oliguria', 'blindness', 'neurotoxicity', 'high frequency deafness', 'apnoea', 'albuminuria']",26
List mild adverse events of amikacin,severity_filtered,amikacin,mild,"['nausea', 'headache', 'rash']",3
List life threatening adverse events of fosphenytoin,severity_filtered,fosphenytoin,life_threatening,"['anaphylactic shock', 'anaphylactoid reaction', 'coma']",3
Show severe reactions to fosphenytoin,severity_filtered,fosphenytoin,severe,"['cardiac arrest', 'paralysis']",2
Find all moderate toxicities of fosphenytoin,severity_filtered,fosphenytoin,moderate,"['cerebral infarction', 'hypokinesia', 'injection site swelling', 'diplopia', 'gastrointestinal haemorrhage', 'dermatitis', 'meningitis', 'injection site reaction', 'injection site pain', 'tingling sensation', 'musculoskeletal discomfort', 'loss of consciousness', 'pulmonary embolism', 'dyskinesia', 'anorexia', 'amblyopia', 'ventricular extrasystoles', 'cachexia', 'subdural haematoma', 'hypoaesthesia', 'chills', 'ataxia', 'salivary hypersecretion', 'dyspnoea', 'sweating', 'urethral pain', 'dehydration', 'hypertension', 'dysgeusia', 'diabetes insipidus', 'hypotonia', 'myopathy', 'oliguria', 'nervousness', 'oedema genital', 'urine output increased', 'muscle twitching', 'hemiplegia', 'hyperventilation', 'liver function test abnormal', 'ill-defined disorder', 'apnoea', 'affect lability', 'atrial flutter', 'face oedema', 'cerebral haemorrhage', 'vertigo', 'cardiomegaly', 'thinking abnormal', 'aphasia', 'personality disorder', 'coordination abnormal', 'atelectasis', 'body temperature increased', 'tongue oedema', 'muscle spasms', 'confusional state', 'muscle relaxant therapy', 'hyporeflexia', 'ageusia', 'delirium', 'agitation', 'thrombocytopenia', 'scotoma', 'asthenia', 'lymphadenopathy', 'myoclonus', 'speech disorder', 'palpitations', 'hypophosphataemia', 'arthralgia', 'dyspepsia', 'skin discolouration', 'mental disability', 'sinusitis', 'hyperglycaemia', 'orthostatic hypotension', 'mood swings', 'anorectal discomfort', 'stupor', 'rhinitis', 'depressed level of consciousness', 'leukopenia', 'vulvovaginal candidiasis', 'ileus', 'myalgia', 'hyperacusis', 'bundle branch block', 'hypotension', 'cryptococcosis', 'urinary retention', 'sepsis', 'myasthenia', 'psychotic disorder', 'thrombophlebitis', 'tongue disorder', 'dysarthria', 'infection', 'cns depression nos', 'photophobia', 'ketosis', 'neurosis', 'encephalitis', 'cough', 'hostility', 'dysphagia', 'hyperkinesia', 'influenza', 'amnesia', 'paraesthesia oral', 'tinnitus', 'extrapyramidal disorder', 'leukocytosis', 'skin nodule', 'somnolence', 'tremor', 'paraesthesia', 'ear pain', 'flatulence', 'increased bronchial secretion', 'polyuria', 'encephalopathy', 'hyperkalaemia', 'decreased appetite', 'epistaxis', 'petechiae', 'mydriasis', 'depersonalisation', 'ecchymosis', 'tension', 'albuminuria', 'fluid retention', 'injection site inflammation', 'eye pain', 'pneumonia', 'cough increased', 'hypochromic anaemia', 'vomiting', 'hypokalaemia', 'nystagmus', 'hyperreflexia', 'shock', 'intracranial pressure increased', 'vaginal moniliasis', 'akathisia', 'photosensitivity reaction', 'pelvic pain', 'osteoarthritis', 'hyperhidrosis', 'pneumothorax', 'parosmia', 'brain oedema', 'dysuria', 'cramps of lower extremities', 'urticaria', 'deafness', 'acidosis', 'asthma', 'gastritis', 'anaemia', 'pharyngitis', 'hyperaesthesia', 'vaginal infection', 'proctalgia', 'circumoral paresthesia', 'conjunctivitis', 'sputum increased', 'migraine', 'extensor plantar response', 'pneumonia aspiration', 'injury', 'urinary incontinence', 'vaginal inflammation', 'feeling abnormal', 'vulvovaginal mycotic infection', 'discomfort', 'syncope', 'cyanosis', 'accidental injury', 'haemoptysis', 'injection site haemorrhage', 'muscular weakness', 'back pain', 'rectal tenesmus', 'bronchitis', 'skin mass', 'alkalosis', 'malaise', 'dermatitis contact', 'convulsion', 'generalised oedema', 'diarrhoea', 'cardiac failure congestive', 'renal failure']",194
Find all mild moderate toxicities of fosphenytoin,severity_filtered,fosphenytoin,mild_moderate,"['sinus bradycardia', 'bradycardia', 'tachycardia']",3
Find all mild toxicities of fosphenytoin,severity_filtered,fosphenytoin,mild,"['dizziness', 'pruritus', 'headache', 'constipation', 'rash', 'rash maculo-papular', 'rash pustular', 'nausea', 'dry mouth', 'insomnia']",10
List fatal adverse events of clindamycin,severity_filtered,clindamycin,fatal,['fatal outcomes'],1
Find all life threatening toxicities of clindamycin,severity_filtered,clindamycin,life_threatening,"['anaphylactic shock', 'toxic epidermal necrolysis', 'anaphylactoid reaction', 'stevens-johnson syndrome']",4
Find all severe toxicities of clindamycin,severity_filtered,clindamycin,severe,['cardiac arrest'],1
