drug,side_effect,label,query
pregabalin,brain oedema,1,Is brain oedema an adverse effect of pregabalin?
pregabalin,oral candidiasis,1,Is oral candidiasis an adverse effect of pregabalin?
pregabalin,lactic acidosis,1,Is lactic acidosis an adverse effect of pregabalin?
pregabalin,oedema,1,Is oedema an adverse effect of pregabalin?
pregabalin,rheumatoid arthritis,1,Is rheumatoid arthritis an adverse effect of pregabalin?
pregabalin,optic atrophy,1,Is optic atrophy an adverse effect of pregabalin?
pregabalin,ear pain,1,Is ear pain an adverse effect of pregabalin?
pregabalin,ventricular arrhythmia,1,Is ventricular arrhythmia an adverse effect of pregabalin?
pregabalin,thrombocytosis,1,Is thrombocytosis an adverse effect of pregabalin?
pregabalin,haematemesis,1,Is haematemesis an adverse effect of pregabalin?
pregabalin,abortion incomplete,0,Is abortion incomplete an adverse effect of pregabalin?
pregabalin,toxic skin eruption,0,Is toxic skin eruption an adverse effect of pregabalin?
pregabalin,autoimmune haemolytic anaemia,0,Is autoimmune haemolytic anaemia an adverse effect of pregabalin?
pregabalin,antisocial personality disorder,0,Is antisocial personality disorder an adverse effect of pregabalin?
pregabalin,tracheal disorder,0,Is tracheal disorder an adverse effect of pregabalin?
pregabalin,retinal vein occlusion,0,Is retinal vein occlusion an adverse effect of pregabalin?
pregabalin,white blood cells urine positive,0,Is white blood cells urine positive an adverse effect of pregabalin?
pregabalin,cardiac failure high output,0,Is cardiac failure high output an adverse effect of pregabalin?
pregabalin,sensation of heaviness,0,Is sensation of heaviness an adverse effect of pregabalin?
pregabalin,liver abscess,0,Is liver abscess an adverse effect of pregabalin?
aripiprazole,rhabdomyolysis,1,Is rhabdomyolysis an adverse effect of aripiprazole?
aripiprazole,akinesia,1,Is akinesia an adverse effect of aripiprazole?
aripiprazole,pollakiuria,1,Is pollakiuria an adverse effect of aripiprazole?
aripiprazole,hyperhidrosis,1,Is hyperhidrosis an adverse effect of aripiprazole?
aripiprazole,thinking abnormal,1,Is thinking abnormal an adverse effect of aripiprazole?
aripiprazole,faecal incontinence,1,Is faecal incontinence an adverse effect of aripiprazole?
aripiprazole,varicose vein,1,Is varicose vein an adverse effect of aripiprazole?
aripiprazole,palpitations,1,Is palpitations an adverse effect of aripiprazole?
aripiprazole,blepharospasm,1,Is blepharospasm an adverse effect of aripiprazole?
aripiprazole,pemphigus,1,Is pemphigus an adverse effect of aripiprazole?
aripiprazole,endometrial adenocarcinoma,0,Is endometrial adenocarcinoma an adverse effect of aripiprazole?
aripiprazole,dyslipidaemia,0,Is dyslipidaemia an adverse effect of aripiprazole?
aripiprazole,cholecystitis chronic,0,Is cholecystitis chronic an adverse effect of aripiprazole?
aripiprazole,oesophageal achalasia,0,Is oesophageal achalasia an adverse effect of aripiprazole?
aripiprazole,autism spectrum disorder,0,Is autism spectrum disorder an adverse effect of aripiprazole?
aripiprazole,growth of eyelashes,0,Is growth of eyelashes an adverse effect of aripiprazole?
aripiprazole,stroke volume increased,0,Is stroke volume increased an adverse effect of aripiprazole?
aripiprazole,retinal disorder,0,Is retinal disorder an adverse effect of aripiprazole?
aripiprazole,otitis media acute,0,Is otitis media acute an adverse effect of aripiprazole?
aripiprazole,distractibility,0,Is distractibility an adverse effect of aripiprazole?
citalopram,feeling jittery,1,Is feeling jittery an adverse effect of citalopram?
citalopram,eye infection,1,Is eye infection an adverse effect of citalopram?
citalopram,rhinitis,1,Is rhinitis an adverse effect of citalopram?
citalopram,eczema,1,Is eczema an adverse effect of citalopram?
citalopram,tracheal disorder,1,Is tracheal disorder an adverse effect of citalopram?
citalopram,ventricular arrhythmia,1,Is ventricular arrhythmia an adverse effect of citalopram?
citalopram,tracheobronchitis,1,Is tracheobronchitis an adverse effect of citalopram?
citalopram,blood pressure increased,1,Is blood pressure increased an adverse effect of citalopram?
citalopram,acute sinusitis,1,Is acute sinusitis an adverse effect of citalopram?
citalopram,malaise,1,Is malaise an adverse effect of citalopram?
citalopram,liver abscess,0,Is liver abscess an adverse effect of citalopram?
citalopram,dermatitis exfoliative,0,Is dermatitis exfoliative an adverse effect of citalopram?
citalopram,localised infection,0,Is localised infection an adverse effect of citalopram?
citalopram,respiratory tract infection viral,0,Is respiratory tract infection viral an adverse effect of citalopram?
citalopram,bladder spasm,0,Is bladder spasm an adverse effect of citalopram?
citalopram,electrocardiogram change,0,Is electrocardiogram change an adverse effect of citalopram?
