query,query_type,drug,organ_filter,ground_truth,num_results
List perindopril's effects on the gastrointestinal system,organ_specific,perindopril,gastrointestinal,"['abdominal pain', 'abdominal pain', 'constipation', 'constipation', 'nausea', 'nausea', 'vomiting', 'vomiting', 'abdominal pain upper', 'abdominal pain', 'abdominal pain', 'abdominal pain', 'constipation', 'constipation', 'nausea', 'nausea', 'vomiting', 'vomiting', 'abdominal pain', 'abdominal pain', 'constipation', 'constipation', 'nausea', 'nausea', 'vomiting', 'vomiting']",26
Show psychiatric toxicity of perindopril,organ_specific,perindopril,psychiatric,"['anxiety', 'anxiety', 'hallucination', 'hallucination', 'insomnia', 'insomnia', 'anxiety', 'anxiety']",8
Show cardiac toxicity of perindopril,organ_specific,perindopril,cardiac,"['arrhythmia', 'arrhythmia', 'cardiac arrest', 'cardiac arrest', 'cardiac murmur', 'cardiac murmur', 'bradycardia', 'bradycardia', 'arrhythmia', 'arrhythmia', 'cardiac disorder', 'cardiac disorder', 'myocardial infarction', 'myocardial infarction', 'tachycardia', 'tachycardia', 'cardiac murmur', 'cardiac murmur']",18
Show neurological toxicity of perindopril,organ_specific,perindopril,neurological,"['dizziness', 'dizziness', 'headache', 'headache', 'dizziness', 'tremor', 'tremor', 'dizziness', 'dizziness', 'headache', 'headache', 'dizziness', 'dizziness', 'dizziness', 'headache', 'headache', 'dizziness']",17
List perindopril's effects on the hepatic system,organ_specific,perindopril,hepatic,"['jaundice', 'jaundice', 'hepatic failure', 'hepatic failure']",4
Show renal toxicity of perindopril,organ_specific,perindopril,renal,"['calculus of kidney', 'renal failure acute', 'renal failure acute', 'oliguria', 'oliguria', 'renal failure', 'renal failure', 'serum creatinine increased', 'blood creatinine increased', 'renal impairment', 'renal impairment', 'renal failure', 'renal failure acute', 'renal failure acute', 'renal impairment', 'renal impairment', 'renal failure', 'calculus of kidney', 'serum creatinine increased', 'blood creatinine increased']",20
What hematological side effects does perindopril cause?,organ_specific,perindopril,hematological,"['neutropenia', 'neutropenia', 'thrombocytopenia', 'thrombocytopenia', 'neutropenia', 'neutropenia', 'thrombocytopenia', 'thrombocytopenia', 'neutropenia', 'neutropenia']",10
What gastrointestinal side effects does cefotaxime cause?,organ_specific,cefotaxime,gastrointestinal,"['abdominal pain', 'abdominal pain', 'nausea', 'nausea', 'vomiting', 'vomiting', 'nausea', 'nausea', 'vomiting', 'vomiting']",10
List cefotaxime's effects on the cardiac system,organ_specific,cefotaxime,cardiac,"['arrhythmia', 'arrhythmia', 'arrhythmia', 'arrhythmia']",4
Show neurological toxicity of cefotaxime,organ_specific,cefotaxime,neurological,"['headache', 'headache', 'headache', 'headache']",4
List cefotaxime's effects on the hepatic system,organ_specific,cefotaxime,hepatic,"['jaundice', 'jaundice', 'hepatic function abnormal', 'hepatic function abnormal', 'liver injury', 'liver injury', 'traumatic liver injury', 'hepatic function abnormal', 'hepatic function abnormal']",9
List cefotaxime's effects on the hematological system,organ_specific,cefotaxime,hematological,"['neutropenia', 'neutropenia', 'thrombocytopenia', 'thrombocytopenia', 'neutropenia', 'neutropenia', 'thrombocytopenia', 'thrombocytopenia']",8
What renal side effects does cefotaxime cause?,organ_specific,cefotaxime,renal,"['function kidney decreased', 'renal impairment', 'renal impairment', 'renal impairment', 'renal failure']",5
List bepridil's effects on the gastrointestinal system,organ_specific,bepridil,gastrointestinal,"['abdominal pain', 'abdominal pain', 'constipation', 'constipation', 'nausea', 'nausea', 'abdominal discomfort']",7
Show psychiatric toxicity of bepridil,organ_specific,bepridil,psychiatric,"['anxiety', 'anxiety', 'depression', 'depression', 'insomnia', 'insomnia']",6
What cardiac side effects does bepridil cause?,organ_specific,bepridil,cardiac,"['arrhythmia', 'arrhythmia', 'cardiac disorder', 'cardiac disorder', 'cardiac failure', 'cardiac failure', 'sinus tachycardia', 'sinus tachycardia', 'ventricular tachycardia', 'ventricular tachycardia', 'sinus bradycardia', 'sinus bradycardia', 'ventricular arrhythmia', 'ventricular arrhythmia', 'acute myocardial infarction', 'acute myocardial infarction', 'bradycardia', 'bradycardia']",18
List bepridil's effects on the neurological system,organ_specific,bepridil,neurological,"['dizziness', 'dizziness', 'headache', 'headache', 'dizziness', 'tremor', 'tremor']",7
What hepatic side effects does bepridil cause?,organ_specific,bepridil,hepatic,"['liver function test abnormal', 'liver function test abnormal']",2
What gastrointestinal side effects does timolol cause?,organ_specific,timolol,gastrointestinal,"['abdominal pain', 'abdominal pain', 'nausea', 'nausea', 'vomiting', 'vomiting']",6
List timolol's effects on the psychiatric system,organ_specific,timolol,psychiatric,"['anxiety', 'anxiety', 'depression', 'depression', 'hallucination', 'hallucination', 'insomnia', 'insomnia']",8
What cardiac side effects does timolol cause?,organ_specific,timolol,cardiac,"['arrhythmia', 'arrhythmia', 'cardiac arrest', 'cardiac arrest', 'cardiac disorder', 'cardiac disorder', 'cardiac failure', 'cardiac failure', 'cardiac failure congestive', 'cardiac failure congestive', 'cardiac failure acute', 'cardiac failure acute', 'bradycardia', 'bradycardia']",14
Show neurological toxicity of timolol,organ_specific,timolol,neurological,"['dizziness', 'dizziness', 'headache', 'headache', 'dizziness']",5
What hepatic side effects does timolol cause?,organ_specific,timolol,hepatic,"['raised liver function tests', 'liver function test abnormal']",2
List brimonidine's effects on the psychiatric system,organ_specific,brimonidine,psychiatric,"['anxiety', 'anxiety', 'depression', 'depression', 'respiratory depression', 'respiratory depression', 'insomnia', 'insomnia']",8
List brimonidine's effects on the cardiac system,organ_specific,brimonidine,cardiac,"['arrhythmia', 'arrhythmia', 'cardiac disorder', 'cardiac disorder', 'tachycardia', 'tachycardia', 'bradycardia', 'bradycardia']",8
What neurological side effects does brimonidine cause?,organ_specific,brimonidine,neurological,"['dizziness', 'dizziness', 'headache', 'headache', 'dizziness']",5
What gastrointestinal side effects does brimonidine cause?,organ_specific,brimonidine,gastrointestinal,"['nausea', 'nausea']",2
What neurological side effects does dyphylline cause?,organ_specific,dyphylline,neurological,"['headache', 'headache']",2
Show gastrointestinal toxicity of dyphylline,organ_specific,dyphylline,gastrointestinal,"['nausea', 'nausea', 'vomiting', 'vomiting', 'abdominal pain upper']",5
List dyphylline's effects on the cardiac system,organ_specific,dyphylline,cardiac,"['tachycardia', 'tachycardia', 'ventricular arrhythmia', 'ventricular arrhythmia']",4
Show psychiatric toxicity of dyphylline,organ_specific,dyphylline,psychiatric,"['insomnia', 'insomnia']",2
What gastrointestinal side effects does estrofem cause?,organ_specific,estrofem,gastrointestinal,"['abdominal pain', 'abdominal pain', 'nausea', 'nausea', 'vomiting', 'vomiting', 'abdominal bloating', 'abdominal distension']",8
What psychiatric side effects does estrofem cause?,organ_specific,estrofem,psychiatric,"['depression', 'depression', 'insomnia', 'insomnia']",4
What neurological side effects does estrofem cause?,organ_specific,estrofem,neurological,"['dizziness', 'dizziness', 'headache', 'headache']",4
What cardiac side effects does estrofem cause?,organ_specific,estrofem,cardiac,"['cardiac failure congestive', 'cardiac failure congestive', 'myocardial infarction', 'myocardial infarction']",4
What gastrointestinal side effects does desloratadine cause?,organ_specific,desloratadine,gastrointestinal,"['abdominal pain', 'abdominal pain', 'nausea', 'nausea', 'vomiting', 'vomiting']",6
List desloratadine's effects on the neurological system,organ_specific,desloratadine,neurological,"['dizziness', 'dizziness', 'headache', 'headache', 'autonomic neuropathy']",5
What psychiatric side effects does desloratadine cause?,organ_specific,desloratadine,psychiatric,"['hallucination', 'hallucination', 'insomnia', 'insomnia']",4
List desloratadine's effects on the cardiac system,organ_specific,desloratadine,cardiac,"['cardiac disorder', 'cardiac disorder', 'tachycardia', 'tachycardia']",4
Show hepatic toxicity of desloratadine,organ_specific,desloratadine,hepatic,"['hepatic enzyme increased', 'hepatic enzyme increased']",2
List minocycline's effects on the gastrointestinal system,organ_specific,minocycline,gastrointestinal,"['abdominal pain', 'abdominal pain', 'constipation', 'constipation', 'nausea', 'nausea', 'vomiting', 'vomiting']",8
List minocycline's effects on the neurological system,organ_specific,minocycline,neurological,"['dizziness', 'dizziness', 'headache', 'headache', 'dizziness', 'dizziness']",6
Show hepatic toxicity of minocycline,organ_specific,minocycline,hepatic,"['jaundice', 'jaundice', 'hepatic failure', 'hepatic failure', 'acute hepatic failure', 'acute hepatic failure', 'acute fatty liver', 'hepatic steatosis']",8
List minocycline's effects on the renal system,organ_specific,minocycline,renal,"['renal failure acute', 'renal failure acute', 'renal failure', 'renal failure', 'nephrotoxicity']",5
What hematological side effects does minocycline cause?,organ_specific,minocycline,hematological,"['neutropenia', 'neutropenia', 'thrombocytopenia', 'thrombocytopenia']",4
What gastrointestinal side effects does sulfasalazine cause?,organ_specific,sulfasalazine,gastrointestinal,"['abdominal pain', 'abdominal pain', 'nausea', 'nausea', 'vomiting', 'vomiting', 'abdominal pain', 'abdominal pain', 'nausea', 'nausea', 'vomiting', 'vomiting']",12
Show psychiatric toxicity of sulfasalazine,organ_specific,sulfasalazine,psychiatric,"['depression', 'depression', 'hallucination', 'hallucination', 'bone marrow depression', 'insomnia', 'insomnia', 'depression', 'depression', 'hallucination', 'hallucination', 'bone marrow depression', 'insomnia', 'insomnia']",14
List sulfasalazine's effects on the neurological system,organ_specific,sulfasalazine,neurological,"['dizziness', 'dizziness', 'headache', 'headache', 'neuropathy peripheral', 'neuropathy peripheral', 'neuropathy peripheral', 'dizziness', 'dizziness', 'headache', 'headache', 'neuropathy peripheral', 'neuropathy peripheral', 'neuropathy peripheral']",14
List sulfasalazine's effects on the cardiac system,organ_specific,sulfasalazine,cardiac,"['cardiac disorder', 'cardiac disorder', 'cardiac disorder', 'cardiac disorder']",4
List sulfasalazine's effects on the hepatic system,organ_specific,sulfasalazine,hepatic,"['jaundice', 'jaundice', 'jaundice cholestatic', 'jaundice cholestatic', 'hepatic failure', 'hepatic failure', 'liver injury', 'liver function test abnormal', 'liver function test abnormal', 'hepatic necrosis', 'hepatic necrosis', 'hepatotoxicity', 'hepatotoxicity', 'raised liver function tests', 'liver function test abnormal', 'jaundice', 'jaundice', 'hepatic failure', 'hepatic failure']",19
List sulfasalazine's effects on the hematological system,organ_specific,sulfasalazine,hematological,"['neutropenia', 'neutropenia', 'thrombocytopenia', 'thrombocytopenia', 'thrombocytopenia', 'thrombocytopenia']",6
List sulfasalazine's effects on the renal system,organ_specific,sulfasalazine,renal,"['oliguria', 'oliguria']",2
List diethylpropion's effects on the psychiatric system,organ_specific,diethylpropion,psychiatric,"['anxiety', 'anxiety', 'bone marrow depression', 'insomnia', 'insomnia']",5
List diethylpropion's effects on the cardiac system,organ_specific,diethylpropion,cardiac,"['arrhythmia', 'arrhythmia', 'cardiac valve disease', 'cardiac valve disease', 'tachycardia', 'tachycardia']",6
Show gastrointestinal toxicity of diethylpropion,organ_specific,diethylpropion,gastrointestinal,"['constipation', 'constipation', 'nausea', 'nausea', 'vomiting', 'vomiting', 'abdominal discomfort', 'abdominal discomfort']",8
What neurological side effects does diethylpropion cause?,organ_specific,diethylpropion,neurological,"['dizziness', 'dizziness', 'headache', 'headache', 'tremor', 'tremor']",6
