query,query_type,side_effect,ground_truth_drugs,num_drugs
List medications that can lead to rectal haemorrhage,class_based,rectal haemorrhage,"['indomethacin', 'mycophenolate', 'ketorolac', 'maraviroc', 'd-telaprevir', 'axitinib', 'fentanyl', 'aripiprazole', 'formoterol', 'sibutramine', 'piroxicam', 'venlafaxine', 'olanzapine', 'cortisol', 'cilostazol', 'dalteparin', 'donepezil', 'fluvoxamine', 'mefenamic', 'medroxyprogesterone', 'foscarnet', 'zidovudine/lamivudine', 'acamprosate', 'olsalazine', 'ticagrelor', 'goserelin', 'pantoprazole', 'refludan', 'felbamate', 'cefpodoxime', 'risperidone', 'naproxen', 'darunavir', 'torasemide', 'memantine', 'cetirizine', 'ritonavir', 'cilazapril', 'retinoic', 'tadalafil', 'doxazosin', 'oxcarbazepine', 'rivastigmine', 'cabazitaxel', 'nilotinib', 'clindamycin', 'lubiprostone', 'balsalazide', 'paricalcitol', 'zolpidem', 'pregabalin', 'buspirone', 'clozapine', 'nefazodone', 'k779', 'miglitol', 'lamivudine', 'boceprevir', 'l-dmp', 'gabapentin', 'voriconazole', 'doxorubicin', 'clomipramine', 'ziprasidone', 'rivaroxaban', 'glat', 'fenofibrate', 'deprenyl', 'tiagabine', 'paroxetine', 'pramipexole', 'zonisamide', 'trametinib', 'sildenafil', 'ketoprofen', '5-asa', 'citalopram', 'tramadol', 'tegaserod', 'nabumetone', 'pentosan', 'azithromycin', 'saquinavir', 'sunitinib', 'pemetrexed', 'vinblastine', 'capecitabine', 'zidovudine', 'flurbiprofen', 'acarbose', 'temsirolimus', 'sumatriptan', 'v', 'zalcitabine', 'lenalidomide', 'paclitaxel', 'prasugrel', 'orlistat', '4-pba', 'propafenone', 'zopiclone', 'linaclotide', 'bicalutamide', 'ibuprofen', 'ropinirole', 'pixantrone', 'copolymer', 'octreotide', 'apixaban', 'warfarin', 'fluoxetine', 'galantamine', 'oxaliplatin', 'diazepam', 'lansoprazole', 'diclofenac', 'quetiapine', 'dabigatran', 'colestyramine', 'prucalopride', 'etodolac', 'su5416', 'pazopanib', 'lamotrigine', 'bosentan', 'flutamide', 'zaleplon', 'phenylbutyric', 'rabeprazole', 'deferiprone', 'treprostinil', 'carbenicillin', 'zafirlukast', 'prostacyclin', 'oxaprozin', 'gatifloxacin', 'atorvastatin']",137
What drugs are associated with hearing impaired?,class_based,hearing impaired,"['minocycline', 'ketorolac', 'ramipril', 'bupropion', 'gliclazide', 'gadobenate', 'itraconazole', 'aripiprazole', 'deferasirox', 'piroxicam', 'temozolomide', 'hydroxychloroquine', 'iopamidol', 'ribavirin', 'fosfomycin', 'donepezil', 'mefenamic', 'iodixanol', 'imatinib', 'iopromide', 'zidovudine/lamivudine', 'cisplatin', 'sulfasalazine', 'roxithromycin', 'fludarabine', 't-a2-3', 'felbamate', 'diflunisal', '5-fluorocytosine', 'risperidone', 'naproxen', 'memantine', 'tobramycin', 'ritonavir', 'chloroquine', 'retinoic', 'tadalafil', 'estazolam', 'erythromycin', 'sulindac', 'estradiol', 'nilotinib', 'bisoprolol', 'doxepin', 'aspirin', 'furosemide', 'cytarabine', 'valproate', 'clopidogrel', 'ciprofloxacin', 'ifosfamide', 'cevimeline', 'amphotericin', 'k779', 'cgp', 'lamivudine', 'boceprevir', 'vinorelbine', 'carboplatin', 'gadopentetate', 'gabapentin', 'butorphanol', 'fenoprofen', 'gentamicin', 'voriconazole', 'monomycin', 'cabozantinib', 'famp', 'pramipexole', 'rizatriptan', 'celecoxib', 'terbinafine', 'sildenafil', 'cas', 'topiramate', 'eslicarbazepine', 'ketoprofen', 'amikacin', 'tacrolimus', 'vancocine', 'bumetanide', 'optison', 'pravastatin', 'hydrocodone', 'azithromycin', 'kanamycin', 'saquinavir', 'bortezomib', 'flumazenil', 'capecitabine', 'posaconazole', 'zidovudine', 'flurbiprofen', 'salicylate', 'sumatriptan', 'supremon', 'gemcitabine', 'ofloxacin', 'cidofovir', 'v', 'leuprorelin', 'zalcitabine', 'lenalidomide', 'paclitaxel', 'cyclophosphamide', 'gd-dtpa', 'propafenone', 'ramiprilat', 'salsalate', 'capreomycin', 'ibuprofen', 'ropinirole', 'modafinil', 'norfloxacin', '68ga', 'octreotide', 'metoprolol', 'procarbazine', 'thalidomide', 'salmon', 'quinidine', 'clarithromycin', 'diclofenac', 'clofarabine', 'verteporfin', 'mefloquine', 'pegaptanib', 'trazodone', 'etodolac', 'ranolazine', 'carvedilol', 'moxifloxacin', 'phenylbutyric', 'triazolam', 'oxaprozin', 'carbamazepine', 'docetaxel', 'pge2', 'thiotepa']",139
What drugs are associated with gingival bleeding?,class_based,gingival bleeding,"['anagrelide', 'bupropion', 'axitinib', 'fentanyl', 'aripiprazole', 'venlafaxine', 'delavirdine', 'cilostazol', 'ribavirin', ""5-aza-2'-deoxycytidine"", 'zidovudine/lamivudine', 'ticagrelor', 'acitretin', 'refludan', 'felbamate', 'chlorhexidine', 'nifedipine', 'amsacrine', 'indinavir', 'oxcarbazepine', 'trimethadione', 'anthracycline', 'valproate', 'pregabalin', 'k779', 'vinflunine', 'lamivudine', 'danazol', 'boceprevir', 'l-dmp', 'riluzole', 'gabapentin', 'fondaparinux', 'voriconazole', 'doxorubicin', 'clomipramine', 'rivaroxaban', 'ziprasidone', 'dasatinib', 'glat', 'paroxetine', '5-azacytidine', 'zonisamide', 'trametinib', 'topiramate', 'citalopram', 'pentosan', 'sunitinib', 'bortezomib', 'doxycycline', 'zidovudine', 'flurbiprofen', 'temsirolimus', 'v', 'leuprorelin', 'zalcitabine', 'lenalidomide', 'prasugrel', 'propafenone', 'iloprost', 'ropinirole', 'copolymer', 'apixaban', 'mirtazapine', 'articaine', 'fluoxetine', 'clarithromycin', 'lansoprazole', 'clofarabine', 'quetiapine', 'oxycodone', 'bivalirudin', 'lamotrigine', 'zaleplon', 'sitaxsentan', 'dabrafenib', 'atorvastatin']",77
List medications that can lead to drug eruption,class_based,drug eruption,"['minocycline', 'maraviroc', 'd-telaprevir', 'aripiprazole', 'amiodarone', 'ibandronate', 'hydroxychloroquine', 'cilostazol', 'diphenhydramine', 'imatinib', 'demeclocycline', 'hydroxyzine', 'nevirapine', 'sulfasalazine', 'methylphenidate', 'risperidone', 'naproxen', 'darunavir', 'silodosin', 'nitroglycerin', 'icodextrin', 'cetirizine', 'chloroquine', 'ertapenem', 'oxcarbazepine', 'd-penicillamine', 'etoricoxib', 'nilotinib', 'trimethoprim-sulfamethoxazole', 'furosemide', 'valproate', 'clopidogrel', 'buscopan', 'boceprevir', 'labetalol', 'gabapentin', 'voriconazole', 'doxorubicin', 'paliperidone', 'dasatinib', 'celecoxib', 'terbinafine', 'zonisamide', 'fluconazole', 'trimethoprim', 'vancocine', 'saquinavir', 'doxycycline', 'spironolactone', 'strontium', 'oxazepam', 'lenalidomide', 'raltegravir', 'modafinil', 'norfloxacin', 'deferoxamine', 'dolutegravir', 'meprobamate', 'fidaxomicin', 'quinidine', 'tipranavir', 'clarithromycin', 'bosutinib', 'mersyndol', 'telmisartan', 'phenytoin', 'chlorpheniramine', 'atazanavir', 'glimepiride', 'cyclizine', 'clemastine', 'glibenclamide', 'rabeprazole', 'ly146032', 'ethosuximide', 'dacarbazine', 'acetaminophen', 'carbamazepine', 'carbinoxamine']",79
Which drugs cause adrenal insufficiency?,class_based,adrenal insufficiency,"['rilpivirine', 'octreotide', 'metyrapone', 'aminoglutethimide', 'prednisolone', 'ritonavir', 'itraconazole', 'busulfan', 'prednisone', 'budesonide', 'signifor', 'mifepristone', 'sunitinib', 'posaconazole', 'pregabalin', 'megestrol', 'tizanidine', 'rifampicin', 'cidofovir', 'som230', 'voriconazole', 'mitotane', 'ibuprofen']",23
What drugs are associated with fat redistribution?,class_based,fat redistribution,"['saquinavir', 'zalcitabine', 'darunavir', 'dolutegravir', 'delavirdine', 'efavirenz', 'nelfinavir', 'zidovudine', 'didanosine', 'ritonavir', 'fosamprenavir', 'abacavir', 'indinavir', 'lamivudine', 'nevirapine', 'stavudine', 'amprenavir']",17
What drugs are associated with bradyphrenia?,class_based,bradyphrenia,"['ziprasidone', 'ifosfamide', 'topiramate', 'varenicline', 'estradiol', 'pramipexole', 'clonidine', 'lormetazepam', 'pregabalin', 'aripiprazole', 'zonisamide', 'alprazolam']",12
What drugs are associated with peyronie's disease?,class_based,peyronie's disease,"['labetalol', 'timolol', 'penbutolol', 'nadolol', 'propranolol', 'phenytoin', 'metoprolol', 'pge1', 'sotalol', 'atenolol', 'methysergide', 'bisoprolol', 'betaxolol', 'dorzolamide', 'acebutolol', 'ropinirole']",16
Show me drugs known to cause lip swelling,class_based,lip swelling,"['ciclesonide', 'gadolinium', 'adapalene', 'dfmo', 'flecainide', 'diclofenac', 'optison', 'testosterone', 'lioh', 'bortezomib', 'gefitinib', 'bepotastine', 'iopromide', 'lamotrigine', 'methylphenidate', 'ge-132', '1,25(oh)2d3', 'lithium', 'ferumoxytol', 'risperidone']",20
List medications that can lead to localized exfoliation,class_based,localized exfoliation,"['asenapine', 'retinoic', 'vildagliptin', 'erythromycin', 'estradiol', 'clindamycin', 'losartan', 'phenyllactate', 'podophyllotoxin', 'capecitabine', 'calcipotriol', 'salicylate', 'dapsone', 'sumatriptan', 'triamcinolone', 'clotrimazole', 'tazarotene', 'clobetasol', 'azelaic', 'methyl', 'lactate', 'bleomycin', 'benzoyl']",23
