query,query_type,drug,confidence_threshold,ground_truth,num_results
What are the high-confidence (>0.8) side effects of aspirin?,confidence_filtered,aspirin,0.8,"['aspirin_high_conf_effect_0', 'aspirin_high_conf_effect_1', 'aspirin_high_conf_effect_2', 'aspirin_high_conf_effect_3', 'aspirin_high_conf_effect_4', 'aspirin_high_conf_effect_5', 'aspirin_high_conf_effect_6', 'aspirin_high_conf_effect_7', 'aspirin_high_conf_effect_8']",9
Show moderate-confidence (0.5-0.8) side effects of aspirin,confidence_filtered,aspirin,0.5,"['aspirin_high_conf_effect_0', 'aspirin_high_conf_effect_1', 'aspirin_high_conf_effect_2', 'aspirin_high_conf_effect_3', 'aspirin_high_conf_effect_4', 'aspirin_high_conf_effect_5', 'aspirin_high_conf_effect_6', 'aspirin_high_conf_effect_7', 'aspirin_high_conf_effect_8', 'aspirin_med_conf_effect_0', 'aspirin_med_conf_effect_1', 'aspirin_med_conf_effect_2', 'aspirin_med_conf_effect_3', 'aspirin_med_conf_effect_4', 'aspirin_med_conf_effect_5', 'aspirin_med_conf_effect_6', 'aspirin_med_conf_effect_7', 'aspirin_med_conf_effect_8', 'aspirin_med_conf_effect_9', 'aspirin_med_conf_effect_10', 'aspirin_med_conf_effect_11', 'aspirin_med_conf_effect_12', 'aspirin_med_conf_effect_13', 'aspirin_med_conf_effect_14', 'aspirin_med_conf_effect_15', 'aspirin_med_conf_effect_16']",26
What are the high-confidence (>0.8) side effects of metformin?,confidence_filtered,metformin,0.8,"['metformin_high_conf_effect_0', 'metformin_high_conf_effect_1', 'metformin_high_conf_effect_2', 'metformin_high_conf_effect_3', 'metformin_high_conf_effect_4', 'metformin_high_conf_effect_5', 'metformin_high_conf_effect_6', 'metformin_high_conf_effect_7', 'metformin_high_conf_effect_8', 'metformin_high_conf_effect_9', 'metformin_high_conf_effect_10', 'metformin_high_conf_effect_11', 'metformin_high_conf_effect_12', 'metformin_high_conf_effect_13']",14
Show moderate-confidence (0.5-0.8) side effects of metformin,confidence_filtered,metformin,0.5,"['metformin_high_conf_effect_0', 'metformin_high_conf_effect_1', 'metformin_high_conf_effect_2', 'metformin_high_conf_effect_3', 'metformin_high_conf_effect_4', 'metformin_high_conf_effect_5', 'metformin_high_conf_effect_6', 'metformin_high_conf_effect_7', 'metformin_high_conf_effect_8', 'metformin_high_conf_effect_9', 'metformin_high_conf_effect_10', 'metformin_high_conf_effect_11', 'metformin_high_conf_effect_12', 'metformin_high_conf_effect_13', 'metformin_med_conf_effect_0', 'metformin_med_conf_effect_1', 'metformin_med_conf_effect_2', 'metformin_med_conf_effect_3', 'metformin_med_conf_effect_4', 'metformin_med_conf_effect_5', 'metformin_med_conf_effect_6', 'metformin_med_conf_effect_7', 'metformin_med_conf_effect_8', 'metformin_med_conf_effect_9', 'metformin_med_conf_effect_10', 'metformin_med_conf_effect_11', 'metformin_med_conf_effect_12', 'metformin_med_conf_effect_13', 'metformin_med_conf_effect_14', 'metformin_med_conf_effect_15', 'metformin_med_conf_effect_16', 'metformin_med_conf_effect_17', 'metformin_med_conf_effect_18', 'metformin_med_conf_effect_19', 'metformin_med_conf_effect_20', 'metformin_med_conf_effect_21']",36
What are the high-confidence (>0.8) side effects of warfarin?,confidence_filtered,warfarin,0.8,"['warfarin_high_conf_effect_0', 'warfarin_high_conf_effect_1', 'warfarin_high_conf_effect_2', 'warfarin_high_conf_effect_3', 'warfarin_high_conf_effect_4', 'warfarin_high_conf_effect_5', 'warfarin_high_conf_effect_6', 'warfarin_high_conf_effect_7', 'warfarin_high_conf_effect_8', 'warfarin_high_conf_effect_9', 'warfarin_high_conf_effect_10', 'warfarin_high_conf_effect_11', 'warfarin_high_conf_effect_12']",13
Show moderate-confidence (0.5-0.8) side effects of warfarin,confidence_filtered,warfarin,0.5,"['warfarin_high_conf_effect_0', 'warfarin_high_conf_effect_1', 'warfarin_high_conf_effect_2', 'warfarin_high_conf_effect_3', 'warfarin_high_conf_effect_4', 'warfarin_high_conf_effect_5', 'warfarin_high_conf_effect_6', 'warfarin_high_conf_effect_7', 'warfarin_high_conf_effect_8', 'warfarin_high_conf_effect_9', 'warfarin_high_conf_effect_10', 'warfarin_high_conf_effect_11', 'warfarin_high_conf_effect_12', 'warfarin_med_conf_effect_0', 'warfarin_med_conf_effect_1', 'warfarin_med_conf_effect_2', 'warfarin_med_conf_effect_3', 'warfarin_med_conf_effect_4', 'warfarin_med_conf_effect_5', 'warfarin_med_conf_effect_6', 'warfarin_med_conf_effect_7', 'warfarin_med_conf_effect_8', 'warfarin_med_conf_effect_9', 'warfarin_med_conf_effect_10', 'warfarin_med_conf_effect_11', 'warfarin_med_conf_effect_12', 'warfarin_med_conf_effect_13', 'warfarin_med_conf_effect_14']",28
What are the high-confidence (>0.8) side effects of simvastatin?,confidence_filtered,simvastatin,0.8,"['simvastatin_high_conf_effect_0', 'simvastatin_high_conf_effect_1', 'simvastatin_high_conf_effect_2', 'simvastatin_high_conf_effect_3', 'simvastatin_high_conf_effect_4', 'simvastatin_high_conf_effect_5', 'simvastatin_high_conf_effect_6', 'simvastatin_high_conf_effect_7']",8
Show moderate-confidence (0.5-0.8) side effects of simvastatin,confidence_filtered,simvastatin,0.5,"['simvastatin_high_conf_effect_0', 'simvastatin_high_conf_effect_1', 'simvastatin_high_conf_effect_2', 'simvastatin_high_conf_effect_3', 'simvastatin_high_conf_effect_4', 'simvastatin_high_conf_effect_5', 'simvastatin_high_conf_effect_6', 'simvastatin_high_conf_effect_7', 'simvastatin_med_conf_effect_0', 'simvastatin_med_conf_effect_1', 'simvastatin_med_conf_effect_2', 'simvastatin_med_conf_effect_3', 'simvastatin_med_conf_effect_4', 'simvastatin_med_conf_effect_5', 'simvastatin_med_conf_effect_6', 'simvastatin_med_conf_effect_7', 'simvastatin_med_conf_effect_8', 'simvastatin_med_conf_effect_9', 'simvastatin_med_conf_effect_10', 'simvastatin_med_conf_effect_11', 'simvastatin_med_conf_effect_12', 'simvastatin_med_conf_effect_13', 'simvastatin_med_conf_effect_14', 'simvastatin_med_conf_effect_15', 'simvastatin_med_conf_effect_16', 'simvastatin_med_conf_effect_17', 'simvastatin_med_conf_effect_18', 'simvastatin_med_conf_effect_19', 'simvastatin_med_conf_effect_20', 'simvastatin_med_conf_effect_21', 'simvastatin_med_conf_effect_22', 'simvastatin_med_conf_effect_23']",32
What are the high-confidence (>0.8) side effects of lisinopril?,confidence_filtered,lisinopril,0.8,"['lisinopril_high_conf_effect_0', 'lisinopril_high_conf_effect_1', 'lisinopril_high_conf_effect_2', 'lisinopril_high_conf_effect_3', 'lisinopril_high_conf_effect_4', 'lisinopril_high_conf_effect_5', 'lisinopril_high_conf_effect_6', 'lisinopril_high_conf_effect_7', 'lisinopril_high_conf_effect_8']",9
Show moderate-confidence (0.5-0.8) side effects of lisinopril,confidence_filtered,lisinopril,0.5,"['lisinopril_high_conf_effect_0', 'lisinopril_high_conf_effect_1', 'lisinopril_high_conf_effect_2', 'lisinopril_high_conf_effect_3', 'lisinopril_high_conf_effect_4', 'lisinopril_high_conf_effect_5', 'lisinopril_high_conf_effect_6', 'lisinopril_high_conf_effect_7', 'lisinopril_high_conf_effect_8', 'lisinopril_med_conf_effect_0', 'lisinopril_med_conf_effect_1', 'lisinopril_med_conf_effect_2', 'lisinopril_med_conf_effect_3', 'lisinopril_med_conf_effect_4', 'lisinopril_med_conf_effect_5', 'lisinopril_med_conf_effect_6', 'lisinopril_med_conf_effect_7', 'lisinopril_med_conf_effect_8', 'lisinopril_med_conf_effect_9', 'lisinopril_med_conf_effect_10', 'lisinopril_med_conf_effect_11', 'lisinopril_med_conf_effect_12', 'lisinopril_med_conf_effect_13', 'lisinopril_med_conf_effect_14']",24
