query,query_type,drug,ground_truth_side_effects,num_side_effects
List all side effects of misoprostol,reverse,misoprostol,"['cardiac enzymes increased', 'somnolence', 'gastrointestinal pain', 'anorectal disorder', 'myalgia', 'uterine contractions', 'ache', 'dermatitis', 'phosphatase alkaline increased', 'retained placenta or membranes', 'syncope', 'genital disorder female', 'arthralgia', 'stiffness', 'hyperhidrosis', 'chills', 'neuropathy', 'headache', 'dysphagia', 'vaginal haemorrhage', 'neuropathy peripheral', 'purpura', 'gastrointestinal haemorrhage', 'anaphylactoid syndrome of pregnancy', 'metrorrhagia', 'gout', 'tinnitus', 'visual impairment', 'hypertension', 'oedema', 'shock', 'epistaxis', 'anaemia', 'thirst', 'upper respiratory tract infection', 'diarrhoea', 'congenital anomaly', 'neurosis', 'pain', 'uterine rupture', 'premature delivery', 'foetal death', 'anaphylactic shock', 'menstrual disorder', 'glycosuria', 'abortion incomplete', 'anxiety', 'pulmonary embolism', 'thromboembolic event', 'alopecia', 'immune system disorder', 'polyuria', 'haematuria', 'musculoskeletal discomfort', 'bronchospasm', 'flatulence', 'hypotension', 'constipation', 'blood alkaline phosphatase increased', 'arrhythmia', 'fatigue', 'acute coronary syndrome', 'sweating increased', 'hypersensitivity', 'dysuria', 'vomiting', 'body temperature increased', 'pneumonia', 'asthenia', 'cramp muscle', 'muscle spasms', 'nausea', 'dysmenorrhoea', 'dyspepsia', 'loss of consciousness', 'dehydration', 'embolism', 'uterine cramps', 'breast pain', 'amniotic fluid embolism', 'pregnancy', 'loss of libido', 'dyspnoea', 'dizziness', 'inflammation', 'vascular purpura', 'breast disorder', 'conjunctivitis', 'abdominal pain', 'urine output increased', 'developmental delay', 'myocardial infarction', 'phlebitis', 'pallor', 'musculoskeletal stiffness', 'confusional state', 'arterial thrombosis', 'abnormal vision', 'feeling abnormal', 'rash', 'deafness', 'infection', 'inflammatory bowel disease', 'rigors', 'chest pain', 'uterine spasm', 'drowsiness', 'thrombocytopenia', 'ear pain', 'retained placenta', 'urinary tract infection', 'erectile dysfunction', 'red blood cell sedimentation rate increased', 'gingivitis', 'premature baby', 'rectal disorder', 'bronchitis', 'back pain', 'uterine haemorrhage', 'menorrhagia', 'uterine contractions during pregnancy']",121
What are the side effects of sevelamer?,reverse,sevelamer,"['diarrhoea', 'diverticulitis', 'body temperature increased', 'nervous system disorder', 'pain', 'catheter site infection', 'bone disorder', 'gastrointestinal pain', 'faecalith', 'mediastinal disorder', 'asthenia', 'gastrointestinal disorder', 'cough', 'nausea', 'dermatitis', 'thrombosis', 'rash', 'abdominal distension', 'dyspepsia', 'infection', 'subileus', 'chest pain', 'peritonitis', 'intestinal obstruction', 'arthralgia', 'mechanical complication of implant', 'decreased appetite', 'musculoskeletal discomfort', 'dyspnoea', 'flatulence', 'headache', 'skin disorder', 'hypotension', 'angiopathy', 'pain in extremity', 'constipation', 'abdominal pain upper', 'bronchitis', 'fatigue', 'medical device complication', 'back pain', 'abdominal pain', 'anorexia', 'ileus', 'nasopharyngitis', 'pruritus', 'cough increased', 'hypercalcaemia', 'infestation nos', 'faecaloma', 'hypertension', 'infestation', 'intestinal perforation', 'vomiting', 'upper respiratory tract infection']",55
What are the side effects of buspirone?,reverse,buspirone,"['enuresis', 'somnolence', 'myalgia', 'tremor', 'ache', 'menstruation irregular', 'gastrointestinal disorder', 'burning tongue', 'pelvic inflammatory disease', 'dermatitis', 'psychotic disorder', 'cold sweat', 'agitation', 'salivary hypersecretion', 'paraesthesia', 'syncope', 'tunnel vision', 'depersonalisation', 'dry skin', 'sensory loss', 'serotonin syndrome', 'arthralgia', 'ejaculation delayed', 'weight increased', 'palpitations', 'hyperhidrosis', 'restless legs syndrome', 'chills', 'decreased appetite', 'temperature intolerance', 'headache', 'hyperventilation', 'increased tendency to bruise', 'electrocardiogram change', 'glossodynia', 'emotional distress', 'weight decreased', 'dysosmia', 'anger', 'anorexia', 'pruritus', 'extrapyramidal symptoms', 'vertigo', 'metrorrhagia', 'oropharyngeal discomfort', 'urinary hesitation', 'tinnitus', 'nasal congestion', 'hypertension', 'neck stiffness', 'oedema', 'shock', 'epistaxis', 'dysgeusia', 'bleeding breakthrough', 'diarrhoea', 'pain', 'akathisia', 'discomfort', 'vision blurred', 'claustrophobia', 'lightheadedness', 'dystonic reaction', 'cerebrovascular accident', 'redness', 'influenza like illness', 'eye pain', 'alopecia', 'hostility', 'depression', 'ecchymosis', 'hallucination', 'irritable bowel syndrome', 'mood swings', 'affect lability', 'influenza-like symptoms', 'cogwheel rigidity', 'musculoskeletal discomfort', 'flatulence', 'photophobia', 'hypotension', 'mental disability', 'haemoglobin', 'pollakiuria', 'constipation', 'stupor', 'fatigue', 'abnormal dreams', 'decreased interest', 'flushing', 'miosis', 'acute coronary syndrome', 'hypersensitivity', 'tingling sensation', 'dyskinesia', 'dysuria', 'nocturia', 'ataxia', 'ill-defined disorder', 'vomiting', 'libido increased', 'disturbance in sexual arousal', 'body temperature increased', 'movements involuntary', 'throat sore', 'hiccups', 'asthenia', 'cramp muscle', 'rectal haemorrhage', 'muscle spasms', 'nausea', 'euphoric mood', 'taste altered', 'dry mouth', 'convulsion', 'parkinsonism', 'distress', 'sticky skin', 'dyspepsia', 'vivid dreams', 'blister', 'cold intolerance', 'angioedema', 'aphonia', 'numbness', 'loss of consciousness', 'dystonia', 'nightmare', 'dysarthria', 'salivation', 'dyspnoea', 'dysphoria', 'dizziness', 'oropharyngeal pain', 'urticaria', 'functional gastrointestinal disorder', 'acne', 'nervousness', 'suicidal ideation', 'haemorrhage', 'increased appetite', 'dissociative disorder', 'conjunctivitis', 'face oedema', 'myocardial infarction', 'nuchal rigidity', 'insomnia', 'excitement', 'sweating', 'tachycardia', 'musculoskeletal stiffness', 'difficulty thinking', 'slurred speech', 'confusional state', 'extrapyramidal disorder', 'parosmia', 'cardiac failure congestive', 'leukopenia', 'urinary retention', 'tension', 'cardiomyopathy', 'feeling abnormal', 'muscular weakness', 'rash', 'alcohol abuse', 'hypoaesthesia', 'chest pain', 'nail disorder', 'amenorrhoea', 'drowsiness', 'eosinophilia', 'thrombocytopenia', 'erythema', 'pulmonary congestion', 'bradycardia', 'coordination abnormal', 'galactorrhoea', 'erectile dysfunction', 'fear', 'malaise', 'thinking abnormal', 'nail thinning', 'respiratory tract congestion', 'depressed level of consciousness', 'digestion impaired', 'muscle rigidity', 'sore eye', 'dermatitis bullous']",188
List all side effects of nitrite,reverse,nitrite,"['gastrointestinal pain', 'cyanosis', 'asthenia', 'vision blurred', 'lightheadedness', 'anxiety', 'paraesthesia', 'syncope', 'hypoaesthesia', 'loss of consciousness', 'palpitations', 'hyperhidrosis', 'dizziness', 'urticaria', 'arrhythmia', 'fatigue', 'abdominal pain', 'methaemoglobinaemia', 'sweating increased', 'acidosis', 'numbness generalized', 'tingling sensation', 'shock', 'tachycardia']",24
Show me side effects associated with disopyramide,reverse,disopyramide,"['somnolence', 'cyanosis', 'ache', 'dermatitis', 'psychotic disorder', 'hypokalaemia', 'bad taste', 'nodal rhythm', 'paraesthesia', 'poisoning', 'syncope', 'cardiac arrest', 'sensory loss', 'weight increased', 'hyperhidrosis', 'decreased appetite', 'epigastric pain', 'headache', 'anorexia', 'pruritus', 'ventricular tachycardia', 'vertigo', 'urinary hesitation', 'qrs complex', 'cardiogenic shock', 'oedema', 'shock', 'dysgeusia', 'diarrhoea', 'cardiac fibrillation', 'defect conduction intraventricular', 'pain', 'feeling hot', 'discomfort', 'intoxication', 'diplopia', 'vision blurred', 'coma', 'torsade de pointes', 'electrocardiogram qrs complex', 'depression', 'blood creatinine increased', 'block heart', 'nasal dryness', 'skin disorder', 'flatulence', 'prostatism', 'mydriasis', 'hypotension', 'gynaecomastia', 'pollakiuria', 'constipation', 'arrhythmia', 'fatigue', 'hypercholesterolaemia', 'sweating increased', 'tingling sensation', 'dysuria', 'blood urea increased', 'ill-defined disorder', 'vomiting', 'hepatitis', 'sensation of warmth', 'body temperature increased', 'rash generalised', 'asthenia', 'nausea', 'dry mouth', 'apnoea', 'dyspepsia', 'accommodation disorder', 'angioedema', 'numbness', 'loss of consciousness', 'dyspnoea', 'systemic lupus erythematosus', 'dizziness', 'urticaria', 'nervousness', 'dry eye', 'bundle branch block', 'ventricular fibrillation', 'hypoglycaemia', 'cardiac failure', 'insomnia', 'atrioventricular block', 'pallor', 'neutropenia', 'creatinine increased', 'confusional state', 'cardiac failure congestive', 'jaundice cholestatic', 'urinary retention', 'tension', 'hepatic enzyme increased', 'feeling abnormal', 'muscular weakness', 'rash', 'acute retention of urine', 'abdominal distension', 'hypoaesthesia', 'acute psychosis', 'dissociation', 'chest pain', 'agranulocytosis', 'drowsiness', 'sinus arrest', 'rash morbilliform', 'thrombocytopenia', 'abdominal bloating', 'bradycardia', 'erectile dysfunction', 'cardiac output decreased', 'malaise', 'abdominal pain upper', 'lupus erythematosus', 'haemoglobin decreased', 'proarrhythmic effect']",118
Show me side effects associated with hydrocortisone,reverse,hydrocortisone,"['leukoderma', 'allergic contact dermatitis', 'dermatitis', 'secondary infection', 'hypertrichosis', 'folliculitis', 'infection', 'intraocular pressure increased', 'cataract', 'vascular purpura', 'rebound effect', 'dermatitis perioral', 'viral infection', 'miliaria', 'dermatitis contact', 'skin striae', 'purpura', 'rosacea', 'pruritus', 'acneiform eruption', 'skin atrophy', 'hypersensitivity', 'telangiectasia', 'dermatitis acneiform']",24
List all side effects of tasimelteon,reverse,tasimelteon,"['alanine aminotransferase increased', 'headache', 'urinary tract infection', 'abnormal dreams', 'nightmare', 'upper respiratory tract infection']",6
What adverse events does diane-35 cause?,reverse,diane-35,"['diarrhoea', 'libido increased', 'mental disorder', 'disturbance in sexual arousal', 'nervous system disorder', 'gastrointestinal pain', 'breast tenderness', 'gastrointestinal disorder', 'nausea', 'dermatitis', 'fluid retention', 'rash', 'migraine', 'breast enlargement', 'erythema multiforme', 'immune system disorder', 'hypertrophy of breast', 'depressed mood', 'eye disorder', 'weight increased', 'breast pain', 'mood swings', 'affect lability', 'skin disorder', 'headache', 'vaginal discharge', 'unspecified disorder of skin and subcutaneous tissue', 'urticaria', 'weight decreased', 'erythema nodosum', 'libido decreased', 'breast disorder', 'abdominal pain', 'contact lens intolerance', 'hypersensitivity', 'breast discharge', 'malnutrition', 'vomiting']",38
What adverse events does pegaptanib cause?,reverse,pegaptanib,"['eyelid oedema', 'endophthalmitis', 'eye redness', 'exostosis', 'pupillary reflex impaired', 'gastrointestinal disorder', 'retinal exudates', 'macular degeneration', 'dermatitis', 'corneal epithelium disorder', 'intraocular pressure increased', 'contusion', 'corneal dystrophy', 'palpitations', 'chills', 'eczema', 'headache', 'eye pruritus', 'angiopathy', 'abnormal sensation in eye', 'asthenopia', 'vitreous disorder', 'bone spur', 'pruritus', 'ectropion', 'iris disorder', 'vertigo', 'deposit eye', 'meibomianitis', 'visual impairment', 'retinal haemorrhage', 'retinal artery occlusion', 'hypertension', 'diarrhoea', 'eye haemorrhage', 'pupillary deformity', 'iridocyclitis', 'anaphylactic shock', 'pupillary disorder', 'mediastinal disorder', 'retinal tear', 'vision blurred', 'rhinorrhoea', 'eyelids pruritus', 'vitreous floaters', 'cerebrovascular accident', 'influenza like illness', 'hair colour changes', 'eye pain', 'hyphaema', 'corneal deposits', 'immune system disorder', 'diabetes mellitus', 'conjunctival hyperaemia', 'corneal disorder', 'anaphylactoid reaction', 'arthritis', 'retinal oedema', 'ocular discomfort', 'skin disorder', 'mydriasis', 'photophobia', 'unspecified disorder of skin and subcutaneous tissue', 'punctate keratitis', 'retinal scar', ""meniere's disease"", 'eye irritation', 'photopsia', 'fatigue', 'anterior uveitis', 'ocular hyperaemia', 'vitreous haemorrhage', 'anterior chamber inflammation', 'transient ischaemic attack', 'vomiting', 'chalazion', 'optic nerve cupping', 'corneal erosion', 'eyelid irritation', 'ocular icterus', 'retinal vein occlusion', 'cardiac disorder', 'asthenia', 'abrasion nos', 'ocular hypertension', 'vitreous prolapse', 'nausea', 'injection site reaction', 'periorbital haematoma', 'corneal oedema', 'dyspepsia', 'angioedema', 'eye disorder', 'nightmare', 'hypotony of eye', 'dizziness', 'corneal epithelium defect', 'retinal detachment', 'cataract traumatic', 'dry eye', 'dermatitis contact', 'hearing impaired', 'conjunctivitis', 'ear and labyrinth disorders', 'conjunctival oedema', ""meniere's disease aggravated"", 'vitreous detachment', 'pleural effusion', 'mental disorder', 'nervous system disorder', 'panophthalmitis', 'urinary retention', 'eye movement disorder', 'lacrimation increased', 'visual acuity reduced', 'rash', 'connective tissue disorder', 'deafness', 'night sweats', 'rigors', 'chest pain', 'tenderness', 'vitreous opacities', 'cataract', 'urinary tract infection', 'corneal abrasion', 'excoriation', 'bronchitis', 'carotid artery occlusion', 'conjunctival haemorrhage', 'back pain', 'aortic aneurysm', 'eyelid ptosis', 'blepharitis', 'nasopharyngitis', 'conjunctivitis allergic', 'eye swelling', 'injection site vesicles', 'iritis', 'eye discharge', 'keratitis', 'visual disturbance']",142
List all side effects of sativex,reverse,sativex,"['somnolence', 'ulcer', 'gastrointestinal pain', 'balance disorder', 'gastrointestinal disorder', 'disturbance in attention', 'allergy to nuts', 'psychotic disorder', 'syncope', 'palpitations', 'decreased appetite', 'oral mucosal disorder', 'angiopathy', 'glossodynia', 'psychiatric symptom', 'anorexia', 'delusional perception', 'vertigo', 'hypertension', 'shock', 'stinging', 'dysgeusia', 'diarrhoea', 'pain', 'instillation site pain', 'mouth ulceration', 'tooth discolouration', 'discomfort', 'mediastinal disorder', 'vision blurred', 'anxiety', 'pharyngitis', 'amnesia', 'hallucination', 'mood swings', 'affect lability', 'memory impairment', 'application site pain', 'constipation', 'oral mucosal discolouration', 'fatigue', 'ill-defined disorder', 'vomiting', 'illusion', 'oral disorder', 'food allergy', 'lethargy', 'cardiac disorder', 'asthenia', 'nausea', 'euphoric mood', 'dry mouth', 'oral mucosal exfoliation', 'loss of consciousness', 'eye disorder', 'dysarthria', 'dizziness', 'ventricular extrasystoles', 'suicidal ideation', 'ventricular bigeminy', 'increased appetite', 'oral discomfort', 'ear and labyrinth disorders', 'abdominal pain', 'osteoarthritis', 'feeling drunk', 'malnutrition', 'tachycardia', 'confusional state', 'mental disorder', 'nervous system disorder', 'throat irritation', 'paranoia', 'feeling abnormal', 'application site irritation', 'infection', 'dissociation', 'tenderness', 'disorientation', 'extrasystoles', 'stomatitis', 'malaise', 'oral pain', 'infestation nos', 'infestation']",85
